 GLOBAL PARAMETERS
 
 m [kg]                                          :    7.70326474E+10
 R [km]                                          :    9.99500145E-01
 Mean Density [g/cm^3]                           :    1.84177948E-02
 C/mR^2 (Total Moment of Inertia Respect to z)   :    7.53932036E-02
 C20                                             :    9.70273433E-05
 C22                                             :    2.91352670E-05
 ekf (Equivalent Fluid Love Number)              :    2.88599909E-02
 H(n)                                            :    4.11543996E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    4.87736377E-03
 b-R [km]                                        :   -1.39495833E-03
 c-R [km]                                        :   -3.46355437E-03
 
 f1=(a-c)/a                                      :    8.30456460E-03
 f2=(b-c)/b                                      :    2.07252302E-03
 f3=(a-b)/a                                      :    6.23204157E-03
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.51430749E-02
 f_MacLaurin                                     :    5.03596952E-03
 f_Roche                                         :    2.01790445E-02
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    1.44927515E-07    1.00000000E+12    1.27509091E-08    1.07127968E-22    9.93728672E-06    8.09322260E-04
   2    5.00144928E-04    9.99994045E+11    5.24051090E+02    5.24496051E-05    3.19930431E-02    2.60629433E+00
   3    1.00014493E-03    9.99976188E+11    3.66647016E+03    1.62469323E-03    3.19932103E-02    2.52475714E+00
   4    1.50014493E-03    9.99946430E+11    9.95012033E+03    1.10552499E-02    3.19934257E-02    2.26291734E+00
   5    2.00014493E-03    9.99904772E+11    1.93744968E+04    4.09134585E-02    3.19937031E-02    1.98760270E+00
   6    2.50014493E-03    9.99851216E+11    3.19388705E+04    1.10049346E-01    3.19940452E-02    1.75201568E+00
   7    3.00014493E-03    9.99785763E+11    4.76422881E+04    2.43590073E-01    3.19944522E-02    1.55858980E+00
   8    3.50014493E-03    9.99708418E+11    6.64835725E+04    4.72935265E-01    3.19949244E-02    1.40011335E+00
   9    4.00014493E-03    9.99619184E+11    8.84613225E+04    8.35751219E-01    3.19954617E-02    1.26911062E+00
  10    4.50014493E-03    9.99518065E+11    1.13573913E+05    1.37596399E+00    3.19960644E-02    1.15954166E+00
  11    5.00014493E-03    9.99405065E+11    1.41819495E+05    2.14375139E+00    3.19967323E-02    1.06680535E+00
  12    5.50014493E-03    9.99280189E+11    1.73195998E+05    3.19553379E+00    3.19974655E-02    9.87437589E-01
  13    6.00014493E-03    9.99143443E+11    2.07701126E+05    4.59396393E+00    3.19982639E-02    9.18819506E-01
  14    6.50014493E-03    9.98994834E+11    2.45332361E+05    6.40791553E+00    3.19991277E-02    8.58951353E-01
  15    7.00014493E-03    9.98834368E+11    2.86086962E+05    8.71247079E+00    3.20000568E-02    8.06287762E-01
  16    7.50014493E-03    9.98662052E+11    3.29961968E+05    1.15889069E+01    3.20010512E-02    7.59619716E-01
  17    8.00014493E-03    9.98477893E+11    3.76954193E+05    1.51246811E+01    3.20021109E-02    7.17989958E-01
  18    8.50014493E-03    9.98281902E+11    4.27060230E+05    1.94134154E+01    3.20032360E-02    6.80631955E-01
  19    9.00014493E-03    9.98074085E+11    4.80276454E+05    2.45548792E+01    3.20044264E-02    6.46925382E-01
  20    9.50014493E-03    9.97854453E+11    5.36599015E+05    3.06549715E+01    3.20056821E-02    6.16363300E-01
  21    1.00001449E-02    9.97623015E+11    5.96023845E+05    3.78257020E+01    3.20070032E-02    5.88527660E-01
  22    1.05001449E-02    9.97379782E+11    6.58546655E+05    4.61851706E+01    3.20083897E-02    5.63070822E-01
  23    1.10001449E-02    9.97124765E+11    7.24162938E+05    5.58575466E+01    3.20098415E-02    5.39701450E-01
  24    1.15001449E-02    9.96857976E+11    7.92867966E+05    6.69730461E+01    3.20113587E-02    5.18173637E-01
