 GLOBAL PARAMETERS
 
 m [kg]                                          :    6.69402490E+09
 R [km]                                          :    9.99500067E-01
 Mean Density [g/cm^3]                           :    1.60047993E-03
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.26491822E-02
 C20                                             :    9.26061445E-05
 C22                                             :    2.78076742E-05
 ekf (Equivalent Fluid Love Number)              :    2.39361587E-03
 H(n)                                            :    4.00957446E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    5.89626244E-02
 b-R [km]                                        :   -1.67530598E-02
 c-R [km]                                        :   -3.95885594E-02
 
 f1=(a-c)/a                                      :    9.31078458E-02
 f2=(b-c)/b                                      :    2.32363963E-02
 f3=(a-b)/a                                      :    6.98714495E-02
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.74261509E-01
 f_MacLaurin                                     :    5.79522752E-02
 f_Roche                                         :    2.32213784E-01
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
  48    2.35000668E-02    9.21831837E+11    3.13109841E+06    1.12893811E+03    3.13720355E-03    2.77880124E-01
  49    2.40000668E-02    9.18657966E+11    3.25596272E+06    1.22498488E+03    3.13913361E-03    2.71624860E-01
  50    2.45000668E-02    9.15432472E+11    3.38257508E+06    1.32675825E+03    3.14110452E-03    2.65602593E-01
  51    2.50000668E-02    9.12156209E+11    3.51088502E+06    1.43444821E+03    3.14311632E-03    2.59800091E-01
  52    2.55000668E-02    9.08830040E+11    3.64084169E+06    1.54824469E+03    3.14516906E-03    2.54205115E-01
  53    2.60000668E-02    9.05454838E+11    3.77239383E+06    1.66833738E+03    3.14726279E-03    2.48806333E-01
  54    2.65000668E-02    9.02031482E+11    3.90548990E+06    1.79491559E+03    3.14939758E-03    2.43593236E-01
  55    2.70000668E-02    8.98560858E+11    4.04007800E+06    1.92816801E+03    3.15157346E-03    2.38556061E-01
  56    2.75000668E-02    8.95043860E+11    4.17610599E+06    2.06828255E+03    3.15379051E-03    2.33685731E-01
  57    2.80000668E-02    8.91481388E+11    4.31352146E+06    2.21544615E+03    3.15604878E-03    2.28973794E-01
  58    2.85000668E-02    8.87874348E+11    4.45227182E+06    2.36984462E+03    3.15834831E-03    2.24412370E-01
  59    2.90000668E-02    8.84223650E+11    4.59230428E+06    2.53166244E+03    3.16068918E-03    2.19994103E-01
  60    2.95000668E-02    8.80530211E+11    4.73356591E+06    2.70108259E+03    3.16307145E-03    2.15712119E-01
  61    3.00000668E-02    8.76794951E+11    4.87600364E+06    2.87828637E+03    3.16549516E-03    2.11559988E-01
  62    3.05000668E-02    8.73018795E+11    5.01956433E+06    3.06345327E+03    3.16796039E-03    2.07531687E-01
  63    3.10000668E-02    8.69202671E+11    5.16419480E+06    3.25676074E+03    3.17046719E-03    2.03621569E-01
  64    3.15000668E-02    8.65347512E+11    5.30984180E+06    3.45838409E+03    3.17301564E-03    1.99824333E-01
  65    3.20000668E-02    8.61454250E+11    5.45645211E+06    3.66849627E+03    3.17560579E-03    1.96135003E-01
  66    3.25000668E-02    8.57523823E+11    5.60397254E+06    3.88726776E+03    3.17823771E-03    1.92548894E-01
  67    3.30000668E-02    8.53557170E+11    5.75234994E+06    4.11486639E+03    3.18091146E-03    1.89061602E-01
  68    3.35000668E-02    8.49555230E+11    5.90153128E+06    4.35145722E+03    3.18362712E-03    1.85668974E-01
  69    3.40000668E-02    8.45518944E+11    6.05146362E+06    4.59720234E+03    3.18638475E-03    1.82367095E-01
  70    3.45000668E-02    8.41449255E+11    6.20209418E+06    4.85226079E+03    3.18918443E-03    1.79152273E-01
