 GLOBAL PARAMETERS
 
 m [kg]                                          :    6.97680165E+11
 R [km]                                          :    9.99500274E-01
 Mean Density [g/cm^3]                           :    1.66808822E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.04628555E-01
 C20                                             :    1.06317936E-04
 C22                                             :    3.19250363E-05
 ekf (Equivalent Fluid Love Number)              :    2.86411184E-01
 H(n)                                            :    5.14564473E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    6.69249284E-04
 b-R [km]                                        :   -1.91487554E-04
 c-R [km]                                        :   -4.77405375E-04
 
 f1=(a-c)/a                                      :    1.14646027E-03
 f2=(b-c)/b                                      :    2.86115579E-04
 f3=(a-b)/a                                      :    8.60344694E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.67198619E-03
 f_MacLaurin                                     :    5.56034461E-04
 f_Roche                                         :    2.22802065E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    2.73597736E-07    1.00000000E+12    8.57879142E-08    2.56868628E-21   -8.28669011E-05   -7.45166477E-04
   2    5.00273598E-04    9.99999164E+11    5.24458340E+02    5.25149199E-05    2.39426377E-01    2.15347795E+00
   3    1.00027360E-03    9.99996658E+11    3.66775824E+03    1.62566208E-03    2.39426521E-01    2.08608574E+00
   4    1.50027360E-03    9.99992483E+11    9.95260005E+03    1.10596242E-02    2.39426752E-01    1.86975377E+00
   5    2.00027360E-03    9.99986637E+11    1.93789129E+04    4.09266910E-02    2.39427038E-01    1.64231559E+00
   6    2.50027360E-03    9.99979122E+11    3.19465946E+04    1.10083147E-01    2.39427401E-01    1.44770801E+00
   7    3.00027360E-03    9.99969937E+11    4.76555112E+04    2.43668773E-01    2.39427825E-01    1.28793622E+00
   8    3.50027360E-03    9.99959082E+11    6.65054975E+04    4.73106188E-01    2.39428322E-01    1.15704063E+00
   9    4.00027360E-03    9.99946558E+11    8.84963569E+04    8.36100041E-01    2.39428885E-01    1.04884431E+00
  10    4.50027360E-03    9.99932364E+11    1.13627861E+05    1.37663603E+00    2.39429518E-01    9.58356981E-01
  11    5.00027360E-03    9.99916500E+11    1.41899750E+05    2.14497980E+00    2.39430220E-01    8.81777082E-01
  12    5.50027360E-03    9.99898967E+11    1.73311733E+05    3.19767561E+00    2.39430989E-01    8.16242546E-01
  13    6.00027360E-03    9.99879764E+11    2.07863488E+05    4.59754494E+00    2.39431827E-01    7.59589633E-01
  14    6.50027360E-03    9.99858893E+11    2.45554660E+05    6.41368487E+00    2.39432734E-01    7.10166111E-01
  15    7.00027360E-03    9.99836352E+11    2.86384864E+05    8.72146631E+00    2.39433710E-01    6.66695185E-01
  16    7.50027360E-03    9.99812141E+11    3.30353683E+05    1.16025321E+01    2.39434753E-01    6.28177933E-01
  17    8.00027360E-03    9.99786262E+11    3.77460668E+05    1.51447950E+01    2.39435866E-01    5.93823456E-01
  18    8.50027360E-03    9.99758714E+11    4.27705341E+05    1.94424353E+01    2.39437047E-01    5.62998425E-01
  19    9.00027360E-03    9.99729497E+11    4.81087188E+05    2.45958985E+01    2.39438297E-01    5.35190312E-01
  20    9.50027360E-03    9.99698612E+11    5.37605669E+05    3.07118931E+01    2.39439615E-01    5.09980269E-01
  21    1.00002736E-02    9.99666058E+11    5.97260209E+05    3.79033872E+01    2.39441001E-01    4.87022896E-01
  22    1.05002736E-02    9.99631836E+11    6.60050201E+05    4.62896062E+01    2.39442457E-01    4.66030957E-01
  23    1.10002736E-02    9.99595945E+11    7.25975010E+05    5.59960299E+01    2.39443980E-01    4.46763744E-01
  24    1.15002736E-02    9.99558387E+11    7.95033967E+05    6.71543886E+01    2.39445573E-01    4.29018081E-01
