 GLOBAL PARAMETERS
 
 m [kg]                                          :    2.27487152E+12
 R [km]                                          :    9.99000363E-01
 Mean Density [g/cm^3]                           :    5.44717499E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    3.25942527E-01
 C20                                             :    1.02070635E-04
 C22                                             :    3.06496613E-05
 ekf (Equivalent Fluid Love Number)              :    8.97917764E-01
 H(n)                                            :    7.59167106E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    3.02054303E-04
 b-R [km]                                        :   -8.64276523E-05
 c-R [km]                                        :   -2.15553999E-04
 
 f1=(a-c)/a                                      :    5.17969613E-04
 f2=(b-c)/b                                      :    1.29266735E-04
 f3=(a-b)/a                                      :    3.88702878E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    5.12012277E-04
 f_MacLaurin                                     :    1.70274415E-04
 f_Roche                                         :    6.82286692E-04
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    5.00362976E-04    9.99999842E+11    5.24739844E+02    5.25597738E-05    6.40751913E-01    1.76477318E+00
   2    1.00036298E-03    9.99999367E+11    3.66861091E+03    1.62630417E-03    6.40751931E-01    1.70952313E+00
   3    1.50036298E-03    9.99998576E+11    9.95406501E+03    1.10622923E-02    6.40751915E-01    1.53223253E+00
   4    2.00036298E-03    9.99997469E+11    1.93810887E+04    4.09336871E-02    6.40752022E-01    1.34585467E+00
   5    2.50036298E-03    9.99996046E+11    3.19496627E+04    1.10097870E-01    6.40752210E-01    1.18638358E+00
   6    3.00036298E-03    9.99994306E+11    4.76597616E+04    2.43696347E-01    6.40752425E-01    1.05545985E+00
   7    3.50036298E-03    9.99992250E+11    6.65113541E+04    4.73154625E-01    6.40752673E-01    9.48199200E-01
   8    4.00036298E-03    9.99989878E+11    8.85044029E+04    8.36182055E-01    6.40752962E-01    8.59539831E-01
   9    4.50036298E-03    9.99987190E+11    1.13638865E+05    1.37677165E+00    6.40753282E-01    7.85392302E-01
  10    5.00036298E-03    9.99984185E+11    1.41914691E+05    2.14519988E+00    6.40753638E-01    7.22641451E-01
  11    5.50036298E-03    9.99980864E+11    1.73331825E+05    3.19802640E+00    6.40754028E-01    6.68941904E-01
  12    6.00036298E-03    9.99977227E+11    2.07890208E+05    4.59809382E+00    6.40754453E-01    6.22520571E-01
  13    6.50036298E-03    9.99973274E+11    2.45589771E+05    6.41452736E+00    6.40754913E-01    5.82023516E-01
  14    7.00036298E-03    9.99969004E+11    2.86430441E+05    8.72273456E+00    6.40755407E-01    5.46404437E-01
  15    7.50036298E-03    9.99964418E+11    3.30412140E+05    1.16044049E+01    6.40755936E-01    5.14844770E-01
  16    8.00036298E-03    9.99959516E+11    3.77534783E+05    1.51475093E+01    6.40756500E-01    4.86696390E-01
  17    8.50036298E-03    9.99954297E+11    4.27798279E+05    1.94462999E+01    6.40757098E-01    4.61440306E-01
  18    9.00036298E-03    9.99948763E+11    4.81202530E+05    2.46013095E+01    6.40757732E-01    4.38656518E-01
  19    9.50036298E-03    9.99942912E+11    5.37747434E+05    3.07193511E+01    6.40758400E-01    4.18001791E-01
  20    1.00003630E-02    9.99936744E+11    5.97432883E+05    3.79135173E+01    6.40759102E-01    3.99193080E-01
  21    1.05003630E-02    9.99930261E+11    6.60258761E+05    4.63031799E+01    6.40759840E-01    3.81995003E-01
  22    1.10003630E-02    9.99923461E+11    7.26224948E+05    5.60139891E+01    6.40760612E-01    3.66210306E-01
  23    1.15003630E-02    9.99916345E+11    7.95331316E+05    6.71778734E+01    6.40761419E-01    3.51672489E-01
  24    1.20003630E-02    9.99908912E+11    8.67577734E+05    7.99330382E+01    6.40762261E-01    3.38240082E-01
  25    1.25003630E-02    9.99901164E+11    9.42964063E+05    9.44239659E+01    6.40763138E-01    3.25792133E-01
  26    1.30003630E-02    9.99893099E+11    1.02149016E+06    1.10801415E+02    6.40764049E-01    3.14224637E-01
  27    1.35003630E-02    9.99884718E+11    1.10315587E+06    1.29222418E+02    6.40764995E-01    3.03447690E-01
  28    1.40003630E-02    9.99876020E+11    1.18796104E+06    1.49850284E+02    6.40765976E-01    2.93383174E-01
  29    1.45003630E-02    9.99867006E+11    1.27590551E+06    1.72854595E+02    6.40766991E-01    2.83962906E-01
  30    1.50003630E-02    9.99857676E+11    1.36698910E+06    1.98411204E+02    6.40768042E-01    2.75127107E-01
  31    1.55003630E-02    9.99848030E+11    1.46121165E+06    2.26702240E+02    6.40769127E-01    2.66823150E-01
  32    1.60003630E-02    9.99838067E+11    1.55857297E+06    2.57916099E+02    6.40770246E-01    2.59004528E-01
  33    1.65003630E-02    9.99827788E+11    1.65907288E+06    2.92247450E+02    6.40771401E-01    2.51629988E-01
  34    1.70003630E-02    9.99817192E+11    1.76271118E+06    3.29897230E+02    6.40772590E-01    2.44662812E-01
  35    1.75003630E-02    9.99806281E+11    1.86948768E+06    3.71072646E+02    6.40773814E-01    2.38070216E-01
  36    1.80003630E-02    9.99795053E+11    1.97940218E+06    4.15987171E+02    6.40775073E-01    2.31822831E-01
  37    1.85003630E-02    9.99783508E+11    2.09245445E+06    4.64860545E+02    6.40776367E-01    2.25894277E-01
  38    1.90003630E-02    9.99771647E+11    2.20864429E+06    5.17918773E+02    6.40777695E-01    2.20260791E-01
  39    1.95003630E-02    9.99759470E+11    2.32797148E+06    5.75394124E+02    6.40779058E-01    2.14900907E-01
  40    2.00003630E-02    9.99746977E+11    2.45043578E+06    6.37525132E+02    6.40780456E-01    2.09795192E-01
  41    2.05003630E-02    9.99734167E+11    2.57603696E+06    7.04556591E+02    6.40781889E-01    2.04926007E-01
  42    2.10003630E-02    9.99721041E+11    2.70477479E+06    7.76739556E+02    6.40783356E-01    2.00277304E-01
  43    2.15003630E-02    9.99707599E+11    2.83664901E+06    8.54331343E+02    6.40784859E-01    1.95834457E-01
  44    2.20003630E-02    9.99693840E+11    2.97165938E+06    9.37595525E+02    6.40786396E-01    1.91584099E-01
  45    2.25003630E-02    9.99679765E+11    3.10980563E+06    1.02680193E+03    6.40787967E-01    1.87513998E-01
  46    2.30003630E-02    9.99665373E+11    3.25108750E+06    1.12222666E+03    6.40789574E-01    1.83612935E-01
  47    2.35003630E-02    9.99650665E+11    3.39550473E+06    1.22415203E+03    6.40791215E-01    1.79870601E-01
  48    2.40003630E-02    9.99635641E+11    3.54305703E+06    1.33286666E+03    6.40792891E-01    1.76277509E-01
  49    2.45003630E-02    9.99620300E+11    3.69374413E+06    1.44866538E+03    6.40794602E-01    1.72824911E-01
  50    2.50003630E-02    9.99604643E+11    3.84756573E+06    1.57184929E+03    6.40796348E-01    1.69504730E-01
  51    2.55003630E-02    9.99588670E+11    4.00452155E+06    1.70272574E+03    6.40798128E-01    1.66309497E-01
  52    2.60003630E-02    9.99572380E+11    4.16461128E+06    1.84160832E+03    6.40799943E-01    1.63232291E-01
  53    2.65003630E-02    9.99555773E+11    4.32783462E+06    1.98881688E+03    6.40801793E-01    1.60266695E-01
  54    2.70003630E-02    9.99538851E+11    4.49419125E+06    2.14467749E+03    6.40803678E-01    1.57406748E-01
  55    2.75003630E-02    9.99521612E+11    4.66368087E+06    2.30952248E+03    6.40805598E-01    1.54646904E-01
  56    2.80003630E-02    9.99504056E+11    4.83630314E+06    2.48369042E+03    6.40807552E-01    1.51982001E-01
  57    2.85003630E-02    9.99486184E+11    5.01205773E+06    2.66752612E+03    6.40809541E-01    1.49407223E-01
  58    2.90003630E-02    9.99467995E+11    5.19094432E+06    2.86138062E+03    6.40811565E-01    1.46918076E-01
  59    2.95003630E-02    9.99449490E+11    5.37296255E+06    3.06561121E+03    6.40813624E-01    1.44510360E-01
  60    3.00003630E-02    9.99430669E+11    5.55811209E+06    3.28058141E+03    6.40815718E-01    1.42180142E-01
  61    3.05003630E-02    9.99411531E+11    5.74639257E+06    3.50666096E+03    6.40817846E-01    1.39923742E-01
  62    3.10003630E-02    9.99392077E+11    5.93780364E+06    3.74422585E+03    6.40820009E-01    1.37737706E-01
  63    3.15003630E-02    9.99372306E+11    6.13234494E+06    3.99365828E+03    6.40822207E-01    1.35618795E-01
  64    3.20003630E-02    9.99352219E+11    6.33001609E+06    4.25534670E+03    6.40824440E-01    1.33563963E-01
  65    3.25003630E-02    9.99331815E+11    6.53081671E+06    4.52968577E+03    6.40826708E-01    1.31570347E-01
  66    3.30003630E-02    9.99311095E+11    6.73474642E+06    4.81707638E+03    6.40829010E-01    1.29635251E-01
  67    3.35003630E-02    9.99290058E+11    6.94180484E+06    5.11792564E+03    6.40831347E-01    1.27756137E-01
  68    3.40003630E-02    9.99268704E+11    7.15199156E+06    5.43264688E+03    6.40833719E-01    1.25930609E-01
  69    3.45003630E-02    9.99247035E+11    7.36530619E+06    5.76165965E+03    6.40836126E-01    1.24156407E-01
  70    3.50003630E-02    9.99225048E+11    7.58174832E+06    6.10538971E+03    6.40838568E-01    1.22431397E-01
  71    3.55003630E-02    9.99202745E+11    7.80131753E+06    6.46426904E+03    6.40841044E-01    1.20753559E-01
  72    3.60003630E-02    9.99180126E+11    8.02401341E+06    6.83873583E+03    6.40843556E-01    1.19120986E-01
  73    3.65003630E-02    9.99157190E+11    8.24983553E+06    7.22923448E+03    6.40846102E-01    1.17531868E-01
  74    3.70003630E-02    9.99133937E+11    8.47878346E+06    7.63621559E+03    6.40848683E-01    1.15984494E-01
  75    3.75003630E-02    9.99110368E+11    8.71085676E+06    8.06013600E+03    6.40851299E-01    1.14477240E-01
  76    3.80003630E-02    9.99086482E+11    8.94605500E+06    8.50145869E+03    6.40853950E-01    1.13008564E-01
  77    3.85003630E-02    9.99062279E+11    9.18437771E+06    8.96065291E+03    6.40856635E-01    1.11577004E-01
  78    3.90003630E-02    9.99037760E+11    9.42582445E+06    9.43819406E+03    6.40859356E-01    1.10181170E-01
  79    3.95003630E-02    9.99012925E+11    9.67039476E+06    9.93456375E+03    6.40862111E-01    1.08819740E-01
  80    4.00003630E-02    9.98987773E+11    9.91808816E+06    1.04502498E+04    6.40864901E-01    1.07491458E-01
  81    4.05003630E-02    9.98962304E+11    1.01689042E+07    1.09857462E+04    6.40867726E-01    1.06195127E-01
  82    4.10003630E-02    9.98936518E+11    1.04228424E+07    1.15415531E+04    6.40870586E-01    1.04929607E-01
  83    4.15003630E-02    9.98910416E+11    1.06799022E+07    1.21181770E+04    6.40873481E-01    1.03693813E-01
  84    4.20003630E-02    9.98883997E+11    1.09400832E+07    1.27161304E+04    6.40876410E-01    1.02486707E-01
  85    4.25003630E-02    9.98857261E+11    1.12033849E+07    1.33359319E+04    6.40879374E-01    1.01307303E-01
  86    4.30003630E-02    9.98830209E+11    1.14698068E+07    1.39781067E+04    6.40882374E-01    1.00154657E-01
  87    4.35003630E-02    9.98802840E+11    1.17393483E+07    1.46431856E+04    6.40885408E-01    9.90278680E-02
  88    4.40003630E-02    9.98775155E+11    1.20120089E+07    1.53317061E+04    6.40888477E-01    9.79260751E-02
