 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.26783456E+12
 R [km]                                          :    9.98500318E-01
 Mean Density [g/cm^3]                           :    3.04039041E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.61535144E-01
 C20                                             :    1.05949919E-04
 C22                                             :    3.18145285E-05
 ekf (Equivalent Fluid Love Number)              :    5.20228815E-01
 H(n)                                            :    6.08091526E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    4.33335134E-04
 b-R [km]                                        :   -1.23989869E-04
 c-R [km]                                        :   -3.09195680E-04
 
 f1=(a-c)/a                                      :    7.43323433E-04
 f2=(b-c)/b                                      :    1.85507008E-04
 f3=(a-b)/a                                      :    5.57816425E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    9.17323136E-04
 f_MacLaurin                                     :    3.05064287E-04
 f_Roche                                         :    1.22238742E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    3.17964923E-07    1.00000000E+12    1.34656166E-07    5.44558634E-21   -5.98126566E-05   -2.95090334E-04
   2    5.00317965E-04    9.99999587E+11    5.24598111E+02    5.25372622E-05    4.00147548E-01    1.97456036E+00
   3    1.00031796E-03    9.99998350E+11    3.66818276E+03    1.62598371E-03    4.00147414E-01    1.91275419E+00
   4    1.50031796E-03    9.99996289E+11    9.95333502E+03    1.10609732E-02    4.00147564E-01    1.71439267E+00
   5    2.00031796E-03    9.99993404E+11    1.93800199E+04    4.09302799E-02    4.00147803E-01    1.50585571E+00
   6    2.50031796E-03    9.99989694E+11    3.19481869E+04    1.10090854E-01    4.00148104E-01    1.32742276E+00
   7    3.00031796E-03    9.99985160E+11    4.76577701E+04    2.43683575E-01    4.00148455E-01    1.18093107E+00
   8    3.50031796E-03    9.99979802E+11    6.65086877E+04    4.73132930E-01    4.00148862E-01    1.06091591E+00
   9    4.00031796E-03    9.99973620E+11    8.85008427E+04    8.36146610E-01    4.00149327E-01    9.61713687E-01
  10    4.50031796E-03    9.99966613E+11    1.13634123E+05    1.37671503E+00    4.00149848E-01    8.78748751E-01
  11    5.00031796E-03    9.99958783E+11    1.41908399E+05    2.14511078E+00    4.00150427E-01    8.08535536E-01
  12    5.50031796E-03    9.99950128E+11    1.73323528E+05    3.19788797E+00    4.00151061E-01    7.48449788E-01
  13    6.00031796E-03    9.99940649E+11    2.07879351E+05    4.59788155E+00    4.00151754E-01    6.96507603E-01
  14    6.50031796E-03    9.99930345E+11    2.45575693E+05    6.41420649E+00    4.00152501E-01    6.51194047E-01
  15    7.00031796E-03    9.99919218E+11    2.86412363E+05    8.72225693E+00    4.00153306E-01    6.11338437E-01
  16    7.50031796E-03    9.99907266E+11    3.30389156E+05    1.16037052E+01    4.00154167E-01    5.76024863E-01
  17    8.00031796E-03    9.99894491E+11    3.77505850E+05    1.51465009E+01    4.00155085E-01    5.44528149E-01
  18    8.50031796E-03    9.99880891E+11    4.27762208E+05    1.94448697E+01    4.00156059E-01    5.16267598E-01
  19    9.00031796E-03    9.99866467E+11    4.81157978E+05    2.45993121E+01    4.00157090E-01    4.90773271E-01
  20    9.50031796E-03    9.99851219E+11    5.37692893E+05    3.07166024E+01    4.00158177E-01    4.67661129E-01
  21    1.00003180E-02    9.99835147E+11    5.97366668E+05    3.79097871E+01    4.00159321E-01    4.46614470E-01
  22    1.05003180E-02    9.99818251E+11    6.60179004E+05    4.62981836E+01    4.00160522E-01    4.27369930E-01
  23    1.10003180E-02    9.99800531E+11    7.26129587E+05    5.60073790E+01    4.00161779E-01    4.09706803E-01
  24    1.15003180E-02    9.99781987E+11    7.95218087E+05    6.71692280E+01    4.00163092E-01    3.93438793E-01
  25    1.20003180E-02    9.99762620E+11    8.67444158E+05    7.99218515E+01    4.00164463E-01    3.78407610E-01
  26    1.25003180E-02    9.99742428E+11    9.42807439E+05    9.44096351E+01    4.00165889E-01    3.64477922E-01
  27    1.30003180E-02    9.99721412E+11    1.02130755E+06    1.10783227E+02    4.00167373E-01    3.51533363E-01
  28    1.35003180E-02    9.99699573E+11    1.10294411E+06    1.29199536E+02    4.00168912E-01    3.39473333E-01
  29    1.40003180E-02    9.99676910E+11    1.18771670E+06    1.49821730E+02    4.00170509E-01    3.28210434E-01
  30    1.45003180E-02    9.99653423E+11    1.27562490E+06    1.72819234E+02    4.00172162E-01    3.17668373E-01
  31    1.50003180E-02    9.99629112E+11    1.36666827E+06    1.98367728E+02    4.00173871E-01    3.07780265E-01
  32    1.55003180E-02    9.99603977E+11    1.46084636E+06    2.26649142E+02    4.00175638E-01    2.98487228E-01
  33    1.60003180E-02    9.99578019E+11    1.55815870E+06    2.57851660E+02    4.00177460E-01    2.89737222E-01
  34    1.65003180E-02    9.99551238E+11    1.65860480E+06    2.92169712E+02    4.00179339E-01    2.81484092E-01
  35    1.70003180E-02    9.99523632E+11    1.76218416E+06    3.29803973E+02    4.00181275E-01    2.73686755E-01
  36    1.75003180E-02    9.99495203E+11    1.86889626E+06    3.70961363E+02    4.00183268E-01    2.66308529E-01
  37    1.80003180E-02    9.99465951E+11    1.97874059E+06    4.15855040E+02    4.00185317E-01    2.59316554E-01
  38    1.85003180E-02    9.99435875E+11    2.09171657E+06    4.64704401E+02    4.00187423E-01    2.52681313E-01
  39    1.90003180E-02    9.99404976E+11    2.20782366E+06    5.17735079E+02    4.00189585E-01    2.46376217E-01
  40    1.95003180E-02    9.99373253E+11    2.32706128E+06    5.75178937E+02    4.00191804E-01    2.40377251E-01
  41    2.00003180E-02    9.99340707E+11    2.44942883E+06    6.37274070E+02    4.00194079E-01    2.34662670E-01
  42    2.05003180E-02    9.99307338E+11    2.57492570E+06    7.04264798E+02    4.00196411E-01    2.29212737E-01
  43    2.10003180E-02    9.99273146E+11    2.70355127E+06    7.76401663E+02    4.00198800E-01    2.24009499E-01
  44    2.15003180E-02    9.99238130E+11    2.83530489E+06    8.53941430E+02    4.00201245E-01    2.19036587E-01
  45    2.20003180E-02    9.99202291E+11    2.97018592E+06    9.37147080E+02    4.00203747E-01    2.14279049E-01
  46    2.25003180E-02    9.99165630E+11    3.10819368E+06    1.02628781E+03    4.00206305E-01    2.09723197E-01
  47    2.30003180E-02    9.99128145E+11    3.24932748E+06    1.12163902E+03    4.00208920E-01    2.05356478E-01
  48    2.35003180E-02    9.99089837E+11    3.39358663E+06    1.22348232E+03    4.00211592E-01    2.01167358E-01
  49    2.40003180E-02    9.99050706E+11    3.54097039E+06    1.33210554E+03    4.00214321E-01    1.97145221E-01
  50    2.45003180E-02    9.99010753E+11    3.69147805E+06    1.44780268E+03    4.00217106E-01    1.93280282E-01
  51    2.50003180E-02    9.98969976E+11    3.84510886E+06    1.57087395E+03    4.00219947E-01    1.89563501E-01
  52    2.55003180E-02    9.98928377E+11    4.00186204E+06    1.70162577E+03    4.00222845E-01    1.85986521E-01
  53    2.60003180E-02    9.98885956E+11    4.16173682E+06    1.84037073E+03    4.00225800E-01    1.82541601E-01
  54    2.65003180E-02    9.98842711E+11    4.32473240E+06    1.98742760E+03    4.00228812E-01    1.79221558E-01
  55    2.70003180E-02    9.98798645E+11    4.49084798E+06    2.14312134E+03    4.00231880E-01    1.76019723E-01
