 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.27196665E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    3.03659670E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.61317461E-01
 C20                                             :    1.05861681E-04
 C22                                             :    3.17880326E-05
 ekf (Equivalent Fluid Love Number)              :    5.19146968E-01
 H(n)                                            :    6.07658787E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    4.34219090E-04
 b-R [km]                                        :   -1.24242792E-04
 c-R [km]                                        :   -3.09826327E-04
 
 f1=(a-c)/a                                      :    7.43722456E-04
 f2=(b-c)/b                                      :    1.85606589E-04
 f3=(a-b)/a                                      :    5.58115866E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    9.18469177E-04
 f_MacLaurin                                     :    3.05445413E-04
 f_Roche                                         :    1.22391459E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    5.00000000E-04    1.00000000E+12    5.23598776E+02    5.23705520E-05    3.99648283E-01    1.97456132E+00
   2    1.00000000E-03    9.99998000E+11    3.66518410E+03    1.62348386E-03    3.99647991E-01    1.91285101E+00
   3    1.50000000E-03    9.99996000E+11    9.94833694E+03    1.10501423E-02    3.99648216E-01    1.71452978E+00
   4    2.00000000E-03    9.99993000E+11    1.93730191E+04    4.09011148E-02    3.99648489E-01    1.50597921E+00
   5    2.50000000E-03    9.99990000E+11    3.19392059E+04    1.10029429E-01    3.99648760E-01    1.32752581E+00
   6    3.00000000E-03    9.99985000E+11    4.76467739E+04    2.43571784E-01    3.99649098E-01    1.18101477E+00
   7    3.50000000E-03    9.99980000E+11    6.64957146E+04    4.72948996E-01    3.99649501E-01    1.06098509E+00
   8    4.00000000E-03    9.99974000E+11    8.84858924E+04    8.35864648E-01    3.99649950E-01    9.61771320E-01
   9    4.50000000E-03    9.99967000E+11    1.13617185E+05    1.37630506E+00    3.99650460E-01    8.78797246E-01
  10    5.00000000E-03    9.99959000E+11    1.41889450E+05    2.14453855E+00    3.99651030E-01    8.08576674E-01
  11    5.50000000E-03    9.99950000E+11    1.73302529E+05    3.19711471E+00    3.99651662E-01    7.48484933E-01
  12    6.00000000E-03    9.99941000E+11    2.07856450E+05    4.59686820E+00    3.99652352E-01    6.96538448E-01
  13    6.50000000E-03    9.99931000E+11    2.45550882E+05    6.41290766E+00    3.99653095E-01    6.51221255E-01
  14    7.00000000E-03    9.99919000E+11    2.86385331E+05    8.72061399E+00    3.99653896E-01    6.11361940E-01
  15    7.50000000E-03    9.99907000E+11    3.30360101E+05    1.16016692E+01    3.99654759E-01    5.76045739E-01
  16    8.00000000E-03    9.99895000E+11    3.77475078E+05    1.51440258E+01    3.99655677E-01    5.44547232E-01
  17    8.50000000E-03    9.99881000E+11    4.27729294E+05    1.94418772E+01    3.99656650E-01    5.16284564E-01
  18    9.00000000E-03    9.99867000E+11    4.81123277E+05    2.45957528E+01    3.99657679E-01    4.90788814E-01
  19    9.50000000E-03    9.99852000E+11    5.37656358E+05    3.07124063E+01    3.99658761E-01    4.67675360E-01
  20    1.00000000E-02    9.99836000E+11    5.97328225E+05    3.79048778E+01    3.99659898E-01    4.46627484E-01
  21    1.05000000E-02    9.99819000E+11    6.60138549E+05    4.62924773E+01    3.99661091E-01    4.27381808E-01
  22    1.10000000E-02    9.99801000E+11    7.26086982E+05    5.60007830E+01    3.99662341E-01    4.09717610E-01
