 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.27069443E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    3.03355949E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.61182304E-01
 C20                                             :    1.05830822E-04
 C22                                             :    3.17787661E-05
 ekf (Equivalent Fluid Love Number)              :    5.18476533E-01
 H(n)                                            :    6.07390613E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    4.34462160E-04
 b-R [km]                                        :   -1.24312339E-04
 c-R [km]                                        :   -3.09999683E-04
 
 f1=(a-c)/a                                      :    7.44138521E-04
 f2=(b-c)/b                                      :    1.85710424E-04
 f3=(a-b)/a                                      :    5.58428096E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    9.19388750E-04
 f_MacLaurin                                     :    3.05751226E-04
 f_Roche                                         :    1.22513998E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    1.00000000E-03    9.99998000E+11    4.18878183E+03    1.67585435E-03    3.99296131E-01    1.97479271E+00
   2    2.00000000E-03    9.99993000E+11    2.93213262E+04    5.19512252E-02    3.99296632E-01    1.91307335E+00
   3    3.00000000E-03    9.99985000E+11    7.95858201E+04    3.53600672E-01    3.99297357E-01    1.71472115E+00
   4    4.00000000E-03    9.99974000E+11    1.54981208E+05    1.30881084E+00    3.99298276E-01    1.50613817E+00
   5    5.00000000E-03    9.99959000E+11    2.55505726E+05    3.52083268E+00    3.99299435E-01    1.32765372E+00
   6    6.00000000E-03    9.99941000E+11    3.81157419E+05    7.79395433E+00    3.99300829E-01    1.18111715E+00
   7    7.00000000E-03    9.99919000E+11    5.31933266E+05    1.51334451E+01    3.99302463E-01    1.06106323E+00
   8    8.00000000E-03    9.99895000E+11    7.07831215E+05    2.67455564E+01    3.99304320E-01    9.61829248E-01
   9    9.00000000E-03    9.99867000E+11    9.08846582E+05    4.40373588E+01    3.99306395E-01    8.78836202E-01
  10    1.00000000E-02    9.99836000E+11    1.13497598E+06    6.86167944E+01    3.99308692E-01    8.08598502E-01
  11    1.10000000E-02    9.99801000E+11    1.38621365E+06    1.02292429E+02    3.99311216E-01    7.48490366E-01
  12    1.20000000E-02    9.99763000E+11    1.66255559E+06    1.47073602E+02    3.99313971E-01    6.96528102E-01
  13    1.30000000E-02    9.99722000E+11    1.96399646E+06    2.05170160E+02    3.99316953E-01    6.51196289E-01
  14    1.40000000E-02    9.99678000E+11    2.29053045E+06    2.78992399E+02    3.99320159E-01    6.11323855E-01
  15    1.50000000E-02    9.99630000E+11    2.64214866E+06    3.71150580E+02    3.99323588E-01    5.75994067E-01
  16    1.60000000E-02    9.99579000E+11    3.01884627E+06    4.84455692E+02    3.99327244E-01    5.44482182E-01
  17    1.70000000E-02    9.99525000E+11    3.42061603E+06    6.21918587E+02    3.99331124E-01    5.16207311E-01
  18    1.80000000E-02    9.99467000E+11    3.84744642E+06    7.86749257E+02    3.99335231E-01    4.90698899E-01
  19    1.90000000E-02    9.99406000E+11    4.29933222E+06    9.82358656E+02    3.99339564E-01    4.67573335E-01
  20    2.00000000E-02    9.99342000E+11    4.77626477E+06    1.21235685E+03    3.99344124E-01    4.46513810E-01
  21    2.10000000E-02    9.99275000E+11    5.27823495E+06    1.48055334E+03    3.99348909E-01    4.27256878E-01
  22    2.20000000E-02    9.99204000E+11    5.80522737E+06    1.79095510E+03    3.99353918E-01    4.09581362E-01
  23    2.30000000E-02    9.99130000E+11    6.35723671E+06    2.14777101E+03    3.99359153E-01    3.93301364E-01
  24    2.40000000E-02    9.99053000E+11    6.93425241E+06    2.55540763E+03    3.99364612E-01    3.78258535E-01
  25    2.50000000E-02    9.98972000E+11    7.53625592E+06    3.01846709E+03    3.99370298E-01    3.64317144E-01
  26    2.60000000E-02    9.98888000E+11    8.16324206E+06    3.54175499E+03    3.99376210E-01    3.51361182E-01
  27    2.70000000E-02    9.98801000E+11    8.81519885E+06    4.13027294E+03    3.99382348E-01    3.39290013E-01
  28    2.80000000E-02    9.98711000E+11    9.49211385E+06    4.78922049E+03    3.99388711E-01    3.28016205E-01
  29    2.90000000E-02    9.98617000E+11    1.01939640E+07    5.52398939E+03    3.99395300E-01    3.17463128E-01
  30    3.00000000E-02    9.98520000E+11    1.09207446E+07    6.34017823E+03    3.99402114E-01    3.07564216E-01
  31    3.10000000E-02    9.98420000E+11    1.16724418E+07    7.24357865E+03    3.99409154E-01    2.98260563E-01
  32    3.20000000E-02    9.98316000E+11    1.24490289E+07    8.24017093E+03    3.99416420E-01    2.89499825E-01
  33    3.30000000E-02    9.98210000E+11    1.32505152E+07    9.33615562E+03    3.99423911E-01    2.81236416E-01
  34    3.40000000E-02    9.98100000E+11    1.40768597E+07    1.05378964E+04    3.99431627E-01    2.73428665E-01
