 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.27239086E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    3.03760943E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.61362506E-01
 C20                                             :    1.05871958E-04
 C22                                             :    3.17911185E-05
 ekf (Equivalent Fluid Love Number)              :    5.19370524E-01
 H(n)                                            :    6.07748210E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    4.34138148E-04
 b-R [km]                                        :   -1.24219633E-04
 c-R [km]                                        :   -3.09768600E-04
 
 f1=(a-c)/a                                      :    7.43583908E-04
 f2=(b-c)/b                                      :    1.85572013E-04
 f3=(a-b)/a                                      :    5.58011895E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    9.18162960E-04
 f_MacLaurin                                     :    3.05343578E-04
 f_Roche                                         :    1.22350654E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    3.33333000E-04    1.00000000E+12    1.55139913E+02    6.89649905E-06    3.99763722E-01    1.97447314E+00
   2    6.66667000E-04    9.99999000E+11    1.08598389E+03    2.13792912E-04    3.99765215E-01    1.91277679E+00
   3    1.00000000E-03    9.99998000E+11    2.94765942E+03    1.45516511E-03    3.99765509E-01    1.71446400E+00
   4    1.33333000E-03    9.99997000E+11    5.74010230E+03    5.38608826E-03    3.99765442E-01    1.50591744E+00
   5    1.66667000E-03    9.99995000E+11    9.46370656E+03    1.44898483E-02    3.99765625E-01    1.32749232E+00
   6    2.00000000E-03    9.99993000E+11    1.41175592E+04    3.20753374E-02    3.99765796E-01    1.18096693E+00
   7    2.33333000E-03    9.99991000E+11    1.97024226E+04    6.22812059E-02    3.99765968E-01    1.06094506E+00
   8    2.66667000E-03    9.99988000E+11    2.62189352E+04    1.10076491E-01    3.99766176E-01    9.61756679E-01
   9    3.00000000E-03    9.99985000E+11    3.36646592E+04    1.81243667E-01    3.99766409E-01    8.78767339E-01
  10    3.33333000E-03    9.99982000E+11    4.20418202E+04    2.82411413E-01    3.99766665E-01    8.08552811E-01
  11    3.66667000E-03    9.99978000E+11    5.13513639E+04    4.21039503E-01    3.99766933E-01    7.48482738E-01
  12    4.00000000E-03    9.99974000E+11    6.15885655E+04    6.05363822E-01    3.99767229E-01    6.96522281E-01
  13    4.33333000E-03    9.99969000E+11    7.27577951E+04    8.44520365E-01    3.99767553E-01    6.51208848E-01
  14    4.66667000E-03    9.99964000E+11    8.48604304E+04    1.14846838E+00    3.99767908E-01    6.11368555E-01
  15    5.00000000E-03    9.99959000E+11    9.78886527E+04    1.52785801E+00    3.99768288E-01    5.76040531E-01
  16    5.33333000E-03    9.99953000E+11    1.11849764E+05    1.99436806E+00    3.99768693E-01    5.44544895E-01
  17    5.66667000E-03    9.99947000E+11    1.26745507E+05    2.56046756E+00    3.99769126E-01    5.16298630E-01
  18    6.00000000E-03    9.99941000E+11    1.42564250E+05    3.23915775E+00    3.99769583E-01    4.90792389E-01
  19    6.33333000E-03    9.99934000E+11    1.59316972E+05    4.04471882E+00    3.99770064E-01    4.67681753E-01
  20    6.66667000E-03    9.99927000E+11    1.77005791E+05    4.99214320E+00    3.99770570E-01    4.46648280E-01
  21    7.00000000E-03    9.99919000E+11    1.95614309E+05    6.09668317E+00    3.99771102E-01    4.27393233E-01
  22    7.33333000E-03    9.99912000E+11    2.15158516E+05    7.37532658E+00    3.99771658E-01    4.09732248E-01
  23    7.66667000E-03    9.99903000E+11    2.35640090E+05    8.84557864E+00    3.99772240E-01    3.93476042E-01
  24    8.00000000E-03    9.99895000E+11    2.57038152E+05    1.05248464E+01    3.99772846E-01    3.78436163E-01
