   -5.0000000000D+00    5.7189894863D+00    5.8075634304D+00    5.6304155422D+00    5.8902658722D+00    5.5477131004D+00
   -5.0050000000D+00    5.7418252525D+00    5.8308176527D+00    5.6528328523D+00    5.9135289174D+00    5.5701215877D+00
   -5.0100000000D+00    5.7643965588D+00    5.8538113902D+00    5.6749817275D+00    5.9365313538D+00    5.5922617639D+00
   -5.0150000000D+00    5.7866917559D+00    5.8765329583D+00    5.6968505536D+00    5.9592614918D+00    5.6141220200D+00
   -5.0200000000D+00    5.8086990814D+00    5.8989705567D+00    5.7184276060D+00    5.9817075266D+00    5.6356906361D+00
   -5.0250000000D+00    5.8304066667D+00    5.9211122772D+00    5.7397010562D+00    6.0038575447D+00    5.6569557887D+00
   -5.0300000000D+00    5.8518025455D+00    5.9429461106D+00    5.7606589804D+00    6.0256995324D+00    5.6779055587D+00
   -5.0350000000D+00    5.8728746614D+00    5.9644599558D+00    5.7812893670D+00    6.0472213835D+00    5.6985279393D+00
   -5.0400000000D+00    5.8936108765D+00    5.9856416277D+00    5.8015801254D+00    6.0684109082D+00    5.7188108448D+00
   -5.0450000000D+00    5.9139989807D+00    6.0064788663D+00    5.8215190952D+00    6.0892558418D+00    5.7387421197D+00
   -5.0500000000D+00    5.9340267007D+00    6.0269593462D+00    5.8410940552D+00    6.1097438540D+00    5.7583095474D+00
   -5.0550000000D+00    5.9536817098D+00    6.0470706861D+00    5.8602927335D+00    6.1298625589D+00    5.7775008607D+00
   -5.0600000000D+00    5.9729516383D+00    6.0668004594D+00    5.8791028172D+00    6.1495995251D+00    5.7963037515D+00
   -5.0650000000D+00    5.9918240838D+00    6.0861362040D+00    5.8975119635D+00    6.1689422860D+00    5.8147058816D+00
   -5.0700000000D+00    6.0102866221D+00    6.1050654340D+00    5.9155078101D+00    6.1878783508D+00    5.8326948933D+00
   -5.0750000000D+00    6.0283268185D+00    6.1235756503D+00    5.9330779866D+00    6.2063952161D+00    5.8502584209D+00
   -5.0800000000D+00    6.0459322394D+00    6.1416543526D+00    5.9502101263D+00    6.2244803768D+00    5.8673841020D+00
   -5.0850000000D+00    6.0630904647D+00    6.1592890514D+00    5.9668918779D+00    6.2421213392D+00    5.8840595901D+00
   -5.0900000000D+00    6.0797890992D+00    6.1764672803D+00    5.9831109181D+00    6.2593056322D+00    5.9002725662D+00
   -5.0950000000D+00    6.0960157863D+00    6.1931766087D+00    5.9988549640D+00    6.2760208208D+00    5.9160107518D+00
   -5.1000000000D+00    6.1117582203D+00    6.2094046545D+00    6.0141117861D+00    6.2922545187D+00    5.9312619219D+00
