   -3.4104214249D-01   -5.0000000000D+00   -8.6302030587D+03    3.2833025396D+00   -8.7690180060D-04   -5.4025422519D-01   -8.6269197562D+03   -8.6274608873D+03    8.6274608873D+03
   -3.3604214249D-01   -5.0050000000D+00   -8.6799412236D+03    3.3078790654D+00   -8.7965868395D-04   -5.3669487124D-01   -8.6766333446D+03   -8.6771709191D+03    8.6771709191D+03
   -3.3104214249D-01   -5.0100000000D+00   -8.7295409814D+03    3.3328170818D+00   -8.8233884910D-04   -5.3310916699D-01   -8.7262081643D+03   -8.7267421558D+03    8.7267421558D+03
   -3.2604214249D-01   -5.0150000000D+00   -8.7789859226D+03    3.3581249202D+00   -8.8493998336D-04   -5.2949747880D-01   -8.7756277977D+03   -8.7761581801D+03    8.7761581801D+03
   -3.2104214249D-01   -5.0200000000D+00   -8.8282593479D+03    3.3838110957D+00   -8.8745976614D-04   -5.2586019436D-01   -8.8248755368D+03   -8.8254022844D+03    8.8254022844D+03
   -3.1604214249D-01   -5.0250000000D+00   -8.8773442746D+03    3.4098842525D+00   -8.8989587101D-04   -5.2219772291D-01   -8.8739343904D+03   -8.8744574780D+03    8.8744574780D+03
   -3.1104214249D-01   -5.0300000000D+00   -8.9262234441D+03    3.4363532211D+00   -8.9224596760D-04   -5.1851049555D-01   -8.9227870909D+03   -8.9233064936D+03    8.9233064936D+03
   -3.0604214249D-01   -5.0350000000D+00   -8.9748793291D+03    3.4632269866D+00   -8.9450772383D-04   -5.1479896545D-01   -8.9714161021D+03   -8.9719317956D+03    8.9719317956D+03
   -3.0104214249D-01   -5.0400000000D+00   -9.0232941424D+03    3.4905147148D+00   -8.9667880800D-04   -5.1106360805D-01   -9.0198036277D+03   -9.0203155879D+03    9.0203155879D+03
   -2.9604214249D-01   -5.0450000000D+00   -9.0714498457D+03    3.5182257296D+00   -8.9875689106D-04   -5.0730492131D-01   -9.0679316200D+03   -9.0684398237D+03    9.0684398237D+03
   -2.9104214249D-01   -5.0500000000D+00   -9.1193281595D+03    3.5463695415D+00   -9.0073964896D-04   -5.0352342582D-01   -9.1157817900D+03   -9.1162862141D+03    9.1162862141D+03
   -2.8604214249D-01   -5.0550000000D+00   -9.1669105731D+03    3.5749558525D+00   -9.0262476506D-04   -4.9971966497D-01   -9.1633356172D+03   -9.1638362395D+03    9.1638362395D+03
   -2.8104214249D-01   -5.0600000000D+00   -9.2141783557D+03    3.6039945552D+00   -9.0440993253D-04   -4.9589420507D-01   -9.2105743612D+03   -9.2110711598D+03    9.2110711598D+03
