   -5.0000000000D+00    5.9743762839D-02    1.6693640488D-01   -4.7448879199D-02    1.7537068731D-01   -5.5883161628D-02
   -5.0050000000D+00    6.0180258677D-02    1.6789454695D-01   -4.7534029593D-02    1.7634480048D-01   -5.5984283129D-02
   -5.0100000000D+00    6.0615784386D-02    1.6885606510D-01   -4.7624496333D-02    1.7732220340D-01   -5.6090634631D-02
   -5.0150000000D+00    6.1050201316D-02    1.6982077165D-01   -4.7720369019D-02    1.7830270500D-01   -5.6202302366D-02
   -5.0200000000D+00    6.1483368265D-02    1.7078847365D-01   -4.7821737125D-02    1.7928610902D-01   -5.6319372492D-02
   -5.0250000000D+00    6.1915141531D-02    1.7175897299D-01   -4.7928689928D-02    1.8027221410D-01   -5.6441931033D-02
   -5.0300000000D+00    6.2345374973D-02    1.7273206639D-01   -4.8041316441D-02    1.8126081375D-01   -5.6570063808D-02
   -5.0350000000D+00    6.2773920067D-02    1.7370754547D-01   -4.8159705337D-02    1.8225169650D-01   -5.6703856362D-02
   -5.0400000000D+00    6.3200625979D-02    1.7468519683D-01   -4.8283944870D-02    1.8324464585D-01   -5.6843393890D-02
   -5.0450000000D+00    6.3625339638D-02    1.7566480208D-01   -4.8414122803D-02    1.8423944044D-01   -5.6988761161D-02
   -5.0500000000D+00    6.4047905813D-02    1.7664613795D-01   -4.8550326319D-02    1.8523585407D-01   -5.7140042442D-02
   -5.0550000000D+00    6.4468167198D-02    1.7762897634D-01   -4.8692641942D-02    1.8623365581D-01   -5.7297321413D-02
   -5.0600000000D+00    6.4885964501D-02    1.7861308445D-01   -4.8841155448D-02    1.8723261008D-01   -5.7460681083D-02
   -5.0650000000D+00    6.5301136542D-02    1.7959822486D-01   -4.8995951776D-02    1.8823247679D-01   -5.7630203705D-02
   -5.0700000000D+00    6.5713520352D-02    1.8058415564D-01   -4.9157114936D-02    1.8923301139D-01   -5.7805970684D-02
   -5.0750000000D+00    6.6122951281D-02    1.8157063048D-01   -4.9324727916D-02    1.9023396505D-01   -5.7988062485D-02
   -5.0800000000D+00    6.6529263111D-02    1.8255739881D-01   -4.9498872587D-02    1.9123508476D-01   -5.8176558540D-02
   -5.0850000000D+00    6.6932288171D-02    1.8354420594D-01   -4.9679629601D-02    1.9223611349D-01   -5.8371537152D-02
   -5.0900000000D+00    6.7331857465D-02    1.8453079322D-01   -4.9867078290D-02    1.9323679032D-01   -5.8573075392D-02
   -5.0950000000D+00    6.7727800800D-02    1.8551689817D-01   -5.0061296570D-02    1.9423685060D-01   -5.8781249000D-02
   -5.1000000000D+00    6.8119946917D-02    1.8650225466D-01   -5.0262360828D-02    1.9523602612D-01   -5.8996132282D-02
   -5.1050000000D+00    6.8508123638D-02    1.8748659310D-01   -5.0470345821D-02    1.9623404528D-01   -5.9217798005D-02
   -5.1100000000D+00    6.8892158007D-02    1.8846964058D-01   -5.0685324566D-02    1.9723063330D-01   -5.9446317288D-02
   -5.1150000000D+00    6.9271876441D-02    1.8945112111D-01   -5.0907368230D-02    1.9822551238D-01   -5.9681759495D-02
   -5.1200000000D+00    6.9647104887D-02    1.9043075580D-01   -5.1136546023D-02    1.9921840190D-01   -5.9924192126D-02
   -5.1250000000D+00    7.0017668981D-02    1.9140826304D-01   -5.1372925079D-02    2.0020901866D-01   -6.0173680701D-02
   -5.1300000000D+00    7.0383394216D-02    1.9238335878D-01   -5.1616570351D-02    2.0119707709D-01   -6.0430288653D-02
   -5.1350000000D+00    7.0744106110D-02    1.9335575671D-01   -5.1867544492D-02    2.0218228943D-01   -6.0694077211D-02
   -5.1400000000D+00    7.1099630379D-02    1.9432516850D-01   -5.2125907743D-02    2.0316436605D-01   -6.0965105288D-02
   -5.1450000000D+00    7.1449793117D-02    1.9529130405D-01   -5.2391717817D-02    2.0414301560D-01   -6.1243429365D-02
   -5.1500000000D+00    7.1794420977D-02    1.9625387174D-01   -5.2665029787D-02    2.0511794533D-01   -6.1529103377D-02
   -5.1550000000D+00    7.2133341357D-02    1.9721257868D-01   -5.2945895969D-02    2.0608886131D-01   -6.1822178598D-02
   -5.1600000000D+00    7.2466382589D-02    1.9816713099D-01   -5.3234365810D-02    2.0705546871D-01   -6.2122703527D-02
   -5.1650000000D+00    7.2793374130D-02    1.9911723403D-01   -5.3530485770D-02    2.0801747203D-01   -6.2430723773D-02
   -5.1700000000D+00    7.3114146756D-02    2.0006259273D-01   -5.3834299218D-02    2.0897457545D-01   -6.2746281943D-02
   -5.1750000000D+00    7.3428532757D-02    2.0100291182D-01   -5.4145846310D-02    2.0992648304D-01   -6.3069417527D-02
   -5.1800000000D+00    7.3736366140D-02    2.0193789617D-01   -5.4465163890D-02    2.1087289907D-01   -6.3400166794D-02
   -5.1850000000D+00    7.4037482823D-02    2.0286725102D-01   -5.4792285373D-02    2.1181352832D-01   -6.3738562674D-02
   -5.1900000000D+00    7.4331720840D-02    2.0379068232D-01   -5.5127240642D-02    2.1274807634D-01   -6.4084634656D-02
   -5.1950000000D+00    7.4618920542D-02    2.0470789703D-01   -5.5470055947D-02    2.1367624977D-01   -6.4438408684D-02
   -5.2000000000D+00    7.4898924795D-02    2.0561860339D-01   -5.5820753800D-02    2.1459775664D-01   -6.4799907049D-02
   -5.2050000000D+00    7.5171579188D-02    2.0652251125D-01   -5.6179352878D-02    2.1551230667D-01   -6.5169148297D-02
   -5.2100000000D+00    7.5436732229D-02    2.0741933239D-01   -5.6545867929D-02    2.1641961158D-01   -6.5546147124D-02
   -5.2150000000D+00    7.5694235549D-02    2.0830878078D-01   -5.6920309679D-02    2.1731938539D-01   -6.5930914291D-02
   -5.2200000000D+00    7.5943944095D-02    2.0919057294D-01   -5.7302684745D-02    2.1821134472D-01   -6.6323456529D-02
   -5.2250000000D+00    7.6185716333D-02    2.1006442822D-01   -5.7692995553D-02    2.1909520912D-01   -6.6723776454D-02
   -5.2300000000D+00    7.6419414439D-02    2.1093006913D-01   -5.8091240254D-02    2.1997070137D-01   -6.7131872492D-02
   -5.2350000000D+00    7.6644904488D-02    2.1178722163D-01   -5.8497412657D-02    2.2083754777D-01   -6.7547738794D-02
   -5.2400000000D+00    7.6862056646D-02    2.1263561545D-01   -5.8911502153D-02    2.2169547846D-01   -6.7971365172D-02
   -5.2450000000D+00    7.7070745354D-02    2.1347498436D-01   -5.9333493654D-02    2.2254422773D-01   -6.8402737028D-02
   -5.2500000000D+00    7.7270849501D-02    2.1430506654D-01   -5.9763367535D-02    2.2338353430D-01   -6.8841835295D-02
   -5.2550000000D+00    7.7462252608D-02    2.1512560479D-01   -6.0201099577D-02    2.2421314160D-01   -6.9288636384D-02
