    2.7000000000E+00    5.2126613517E-02    4.1996401751E-01    4.9910043772E-02    9.6498134570E-02
    2.7500000000E+00    4.8217532695E-02    4.1827976281E-01    4.5699407032E-02    9.2780229127E-02
    2.8000000000E+00    4.4581060124E-02    4.1674190639E-01    4.1854765966E-02    8.9195397467E-02
    2.8500000000E+00    4.1203543306E-02    4.1534051158E-01    3.8351278941E-02    8.5745257428E-02
    2.9000000000E+00    3.7896170634E-02    4.1395830533E-01    3.4895763315E-02    8.2177995480E-02
    2.9500000000E+00    3.4855399960E-02    4.1271662673E-01    3.1791566830E-02    7.8778535254E-02
    3.0000000000E+00    3.1992018789E-02    4.1156005598E-01    2.8900139938E-02    7.5432992793E-02
    3.0500000000E+00    2.9309891926E-02    4.1049065792E-01    2.6226644802E-02    7.2159062098E-02
    3.1000000000E+00    2.6809398685E-02    4.0950825645E-01    2.3770641118E-02    6.8971353004E-02
    3.1500000000E+00    2.4439293531E-02    4.0858237456E-01    2.1455936408E-02    6.5794167584E-02
    3.2000000000E+00    2.2254890689E-02    4.0774533835E-01    1.9363345876E-02    6.2737106349E-02
    3.2500000000E+00    2.0209997936E-02    4.0696990428E-01    1.7424760693E-02    5.9731084340E-02
    3.3000000000E+00    1.8275838164E-02    4.0623965547E-01    1.5599138681E-02    5.6728489703E-02
    3.3500000000E+00    1.6523550442E-02    4.0559501751E-01    1.3987543778E-02    5.3888769533E-02
    3.4000000000E+00    1.4887869849E-02    4.0499869975E-01    1.2496749381E-02    5.1092917318E-02
    3.4500000000E+00    1.3352380038E-02    4.0444170445E-01    1.1104261131E-02    4.8312783161E-02
    3.5000000000E+00    1.1946322596E-02    4.0394037130E-01    9.8509282520E-03    4.5629794215E-02
    3.5500000000E+00    1.0666888806E-02    4.0349297981E-01    8.7324495372E-03    4.3057795416E-02
    3.6000000000E+00    9.4674782883E-03    4.0307415686E-01    7.6853921525E-03    4.0488397518E-02
    3.6500000000E+00    8.3832976251E-03    4.0270317451E-01    6.7579362782E-03    3.8032968231E-02
    3.7000000000E+00    7.3796435338E-03    4.0236145492E-01    5.9036372934E-03    3.5606551222E-02
    3.7500000000E+00    6.4723406808E-03    4.0205765956E-01    5.1441489087E-03    3.3273781955E-02
    3.8000000000E+00    5.6528387485E-03    4.0178738521E-01    4.4684630127E-03    3.1027601212E-02
    3.8500000000E+00    4.9031713666E-03    4.0154140765E-01    3.8535191340E-03    2.8821139791E-02
    3.9000000000E+00    4.2336489086E-03    4.0132541595E-01    3.3135398695E-03    2.6711573781E-02
    3.9500000000E+00    3.6271327971E-03    4.0113076186E-01    2.8269046549E-03    2.4649174251E-02
    4.0000000000E+00    3.0880787906E-03    4.0096010542E-01    2.4002635481E-03    2.2672512110E-02
    4.0500000000E+00    2.6089183774E-03    4.0080988636E-01    2.0247158953E-03    2.0768987135E-02
    4.1000000000E+00    2.1850783294E-03    4.0067814359E-01    1.6953589846E-03    1.8937591309E-02
    4.1500000000E+00    1.8118775666E-03    4.0056289530E-01    1.4072382603E-03    1.7175202298E-02
    4.2000000000E+00    1.4864041094E-03    4.0046310395E-01    1.1577598757E-03    1.5488593910E-02
    4.2500000000E+00    1.2053266942E-03    4.0037754832E-01    9.4387081186E-04    1.3883033792E-02
    4.3000000000E+00    9.6330087146E-04    4.0030398687E-01    7.5996718570E-04    1.2347565728E-02
    4.3500000000E+00    7.5809062071E-04    4.0024181848E-01    6.0454619648E-04    1.0893860238E-02
    4.4000000000E+00    5.8585942319E-04    4.0018963105E-01    4.7407761291E-04    9.5208546940E-03
    4.4500000000E+00    4.4304833655E-04    4.0014616973E-01    3.6542432480E-04    8.2281567559E-03
    4.5000000000E+00    3.2645642693E-04    4.0011037955E-01    2.7594887780E-04    7.0182295298E-03
    4.5500000000E+00    2.3328489812E-04    4.0008143923E-01    2.0359806610E-04 NaN                
    4.6000000000E+00    1.6049528883E-04    4.0005840204E-01    1.4600511142E-04 NaN                
    4.6500000000E+00    1.0516955303E-04    4.0004038140E-01    1.0095350613E-04 NaN                
    4.7000000000E+00    6.4703451681E-05    4.0002666934E-01    6.6673358966E-05 NaN                
    4.7500000000E+00    3.6521577697E-05    4.0001656243E-01    4.1406068281E-05 NaN                
    4.8000000000E+00    1.8195046150E-05    4.0000942588E-01    2.3564691460E-05 NaN                
    4.8500000000E+00    7.4435289125E-06    4.0000469148E-01    1.1728693209E-05 NaN                
    4.9000000000E+00    2.1280564275E-06    4.0000184650E-01    4.6162507053E-06 NaN                
    4.9500000000E+00    2.5576967698E-07    4.0000042476E-01    1.0619109158E-06 NaN                
    5.0000000000E+00    1.6982614247E-09    4.0000048307E-01    1.2076746019E-06 NaN                
