 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.04615057E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    2.49750051E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.66623557E-01
 C20                                             :    1.35263724E-04
 C22                                             :    4.06168465E-05
 ekf (Equivalent Fluid Love Number)              :    5.45571086E-01
 H(n)                                            :    6.18228434E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    5.37210372E-04
 b-R [km]                                        :   -1.53710119E-04
 c-R [km]                                        :   -3.83270726E-04
 
 f1=(a-c)/a                                      :    9.19986845E-04
 f2=(b-c)/b                                      :    2.29595892E-04
 f3=(a-b)/a                                      :    6.90390953E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.11672468E-03
 f_MacLaurin                                     :    3.71377114E-04
 f_Roche                                         :    1.48810180E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
  48    2.40000000E-02    9.76000000E+11    3.45917835E+06    1.30133790E+03    3.74400532E-01    2.19586671E-01
  49    2.45000000E-02    9.75500000E+11    3.60450816E+06    1.41369635E+03    3.74448298E-01    2.15211013E-01
  50    2.50000000E-02    9.75000000E+11    3.75275023E+06    1.53314646E+03    3.74496091E-01    2.11003219E-01
  51    2.55000000E-02    9.74500000E+11    3.90389985E+06    1.65997723E+03    3.74543909E-01    2.06953818E-01
  52    2.60000000E-02    9.74000000E+11    4.05795230E+06    1.79448317E+03    3.74591754E-01    2.03054039E-01
  53    2.65000000E-02    9.73500000E+11    4.21490286E+06    1.93696428E+03    3.74639625E-01    1.99295745E-01
  54    2.70000000E-02    9.73000000E+11    4.37474683E+06    2.08772605E+03    3.74687522E-01    1.95671380E-01
  55    2.75000000E-02    9.72500000E+11    4.53747950E+06    2.24707940E+03    3.74735445E-01    1.92173914E-01
  56    2.80000000E-02    9.72000000E+11    4.70309615E+06    2.41534071E+03    3.74783394E-01    1.88796801E-01
  57    2.85000000E-02    9.71500000E+11    4.87159207E+06    2.59283179E+03    3.74831370E-01    1.85533937E-01
  58    2.90000000E-02    9.71000000E+11    5.04296254E+06    2.77987985E+03    3.74879372E-01    1.82379626E-01
  59    2.95000000E-02    9.70500000E+11    5.21720286E+06    2.97681751E+03    3.74927401E-01    1.79328540E-01
  60    3.00000000E-02    9.70000000E+11    5.39430832E+06    3.18398274E+03    3.74975456E-01    1.76375698E-01
  61    3.05000000E-02    9.69500000E+11    5.57427419E+06    3.40171891E+03    3.75023537E-01    1.73516431E-01
  62    3.10000000E-02    9.69000000E+11    5.75709577E+06    3.63037473E+03    3.75071645E-01    1.70746363E-01
  63    3.15000000E-02    9.68500000E+11    5.94276835E+06    3.87030421E+03    3.75119779E-01    1.68061385E-01
  64    3.20000000E-02    9.68000000E+11    6.13128721E+06    4.12186673E+03    3.75167940E-01    1.65457639E-01
  65    3.25000000E-02    9.67500000E+11    6.32264764E+06    4.38542692E+03    3.75216127E-01    1.62931493E-01
  66    3.30000000E-02    9.67000000E+11    6.51684493E+06    4.66135473E+03    3.75264340E-01    1.60479532E-01
  67    3.35000000E-02    9.66500000E+11    6.71387436E+06    4.95002537E+03    3.75312580E-01    1.58098535E-01
  68    3.40000000E-02    9.66000000E+11    6.91373123E+06    5.25181930E+03    3.75360847E-01    1.55785467E-01
  69    3.45000000E-02    9.65500000E+11    7.11641082E+06    5.56712222E+03    3.75409140E-01    1.53537463E-01
  70    3.50000000E-02    9.65000000E+11    7.32190841E+06    5.89632505E+03    3.75457460E-01    1.51351816E-01
  71    3.55000000E-02    9.64500000E+11    7.53021931E+06    6.23982392E+03    3.75505807E-01    1.49225968E-01
  72    3.60000000E-02    9.64000000E+11    7.74133878E+06    6.59802016E+03    3.75554180E-01    1.47157499E-01
  73    3.65000000E-02    9.63500000E+11    7.95526213E+06    6.97132026E+03    3.75602580E-01    1.45144117E-01
  74    3.70000000E-02    9.63000000E+11    8.17198464E+06    7.36013588E+03    3.75651007E-01    1.43183650E-01
  75    3.75000000E-02    9.62500000E+11    8.39150159E+06    7.76488382E+03    3.75699460E-01    1.41274041E-01
  76    3.80000000E-02    9.62000000E+11    8.61380828E+06    8.18598600E+03    3.75747941E-01    1.39413336E-01
  77    3.85000000E-02    9.61500000E+11    8.83889999E+06    8.62386948E+03    3.75796448E-01    1.37599681E-01
  78    3.90000000E-02    9.61000000E+11    9.06677201E+06    9.07896638E+03    3.75844982E-01    1.35831313E-01
  79    3.95000000E-02    9.60500000E+11    9.29741963E+06    9.55171393E+03    3.75893542E-01    1.34106558E-01
  80    4.00000000E-02    9.60000000E+11    9.53083813E+06    1.00425544E+04    3.75942130E-01    1.32423822E-01
  81    4.05000000E-02    9.59500000E+11    9.76702280E+06    1.05519352E+04    3.75990744E-01    1.30781588E-01
  82    4.10000000E-02    9.59000000E+11    1.00059689E+07    1.10803085E+04    3.76039386E-01    1.29178412E-01
  83    4.15000000E-02    9.58500000E+11    1.02476718E+07    1.16281320E+04    3.76088054E-01    1.27612916E-01
  84    4.20000000E-02    9.58000000E+11    1.04921267E+07    1.21958678E+04    3.76136750E-01    1.26083788E-01
  85    4.25000000E-02    9.57500000E+11    1.07393290E+07    1.27839834E+04    3.76185472E-01    1.24589775E-01
  86    4.30000000E-02    9.57000000E+11    1.09892738E+07    1.33929512E+04    3.76234221E-01    1.23129682E-01
  87    4.35000000E-02    9.56500000E+11    1.12419566E+07    1.40232484E+04    3.76282998E-01    1.21702365E-01
  88    4.40000000E-02    9.56000000E+11    1.14973725E+07    1.46753572E+04    3.76331801E-01    1.20306735E-01
  89    4.45000000E-02    9.55500000E+11    1.17555169E+07    1.53497650E+04    3.76380632E-01    1.18941747E-01
