 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.67394585E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    3.99625134E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.85632254E-01
 C20                                             :    1.00147944E-04
 C22                                             :    3.00723175E-05
 ekf (Equivalent Fluid Love Number)              :    6.46337347E-01
 H(n)                                            :    6.58534939E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    3.57531285E-04
 b-R [km]                                        :   -1.02300906E-04
 c-R [km]                                        :   -2.55128696E-04
 
 f1=(a-c)/a                                      :    6.12440995E-04
 f2=(b-c)/b                                      :    1.52843421E-04
 f3=(a-b)/a                                      :    4.59597574E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    6.97909172E-04
 f_MacLaurin                                     :    2.32096145E-04
 f_Roche                                         :    9.30005318E-04
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
  48    2.40000000E-02    9.99424000E+11    3.54219863E+06    1.33251565E+03    4.94568780E-01    1.85416702E-01
  49    2.45000000E-02    9.99400000E+11    3.69281954E+06    1.44827315E+03    4.94570868E-01    1.81783865E-01
  50    2.50000000E-02    9.99375000E+11    3.84656899E+06    1.57141092E+03    4.94572998E-01    1.78290247E-01
  51    2.55000000E-02    9.99350000E+11    4.00345030E+06    1.70223746E+03    4.94575171E-01    1.74928167E-01
  52    2.60000000E-02    9.99324000E+11    4.16345906E+06    1.84106438E+03    4.94577386E-01    1.71690170E-01
  53    2.65000000E-02    9.99298000E+11    4.32659887E+06    1.98821289E+03    4.94579643E-01    1.68569677E-01
  54    2.70000000E-02    9.99271000E+11    4.49286500E+06    2.14400675E+03    4.94581944E-01    1.65560246E-01
  55    2.75000000E-02    9.99244000E+11    4.66226135E+06    2.30877993E+03    4.94584286E-01    1.62656211E-01
  56    2.80000000E-02    9.99216000E+11    4.83478284E+06    2.48286829E+03    4.94586671E-01    1.59851976E-01
  57    2.85000000E-02    9.99188000E+11    5.01043370E+06    2.66661856E+03    4.94589099E-01    1.57142637E-01
  58    2.90000000E-02    9.99159000E+11    5.18920846E+06    2.86037870E+03    4.94591569E-01    1.54523306E-01
  59    2.95000000E-02    9.99130000E+11    5.37111169E+06    3.06450822E+03    4.94594081E-01    1.51989719E-01
  60    3.00000000E-02    9.99100000E+11    5.55613757E+06    3.27936710E+03    4.94596636E-01    1.49537588E-01
  61    3.05000000E-02    9.99070000E+11    5.74429099E+06    3.50532766E+03    4.94599233E-01    1.47163191E-01
  62    3.10000000E-02    9.99039000E+11    5.93556574E+06    3.74276187E+03    4.94601873E-01    1.44862746E-01
  63    3.15000000E-02    9.99008000E+11    6.12996709E+06    3.99205489E+03    4.94604556E-01    1.42632991E-01
  64    3.20000000E-02    9.98976000E+11    6.32748840E+06    4.25359061E+03    4.94607281E-01    1.40470578E-01
  65    3.25000000E-02    9.98944000E+11    6.52813532E+06    4.52776708E+03    4.94610048E-01    1.38372637E-01
  66    3.30000000E-02    9.98911000E+11    6.73190081E+06    4.81498004E+03    4.94612858E-01    1.36336192E-01
  67    3.35000000E-02    9.98878000E+11    6.93879089E+06    5.11564048E+03    4.94615711E-01    1.34358709E-01
  68    3.40000000E-02    9.98844000E+11    7.14879809E+06    5.43015591E+03    4.94618606E-01    1.32437533E-01
  69    3.45000000E-02    9.98810000E+11    7.36192883E+06    5.75895029E+03    4.94621543E-01    1.30570421E-01
  70    3.50000000E-02    9.98775000E+11    7.57817521E+06    6.10244287E+03    4.94624523E-01    1.28754994E-01
  71    3.55000000E-02    9.98740000E+11    7.79754404E+06    6.46107061E+03    4.94627546E-01    1.26989259E-01
  72    3.60000000E-02    9.98704000E+11    8.02002698E+06    6.83526441E+03    4.94630611E-01    1.25271079E-01
  73    3.65000000E-02    9.98668000E+11    8.24563126E+06    7.22547429E+03    4.94633718E-01    1.23598680E-01
  74    3.70000000E-02    9.98631000E+11    8.47434807E+06    7.63214273E+03    4.94636868E-01    1.21970133E-01
  75    3.75000000E-02    9.98594000E+11    8.70618508E+06    8.05573286E+03    4.94640061E-01    1.20383855E-01
  76    3.80000000E-02    9.98556000E+11    8.94113300E+06    8.49669866E+03    4.94643296E-01    1.18838102E-01
  77    3.85000000E-02    9.98518000E+11    9.17919994E+06    8.95551642E+03    4.94646574E-01    1.17331456E-01
  78    3.90000000E-02    9.98479000E+11    9.42037612E+06    9.43265152E+03    4.94649894E-01    1.15862336E-01
  79    3.95000000E-02    9.98440000E+11    9.66467012E+06    9.92859348E+03    4.94653257E-01    1.14429468E-01
  80    4.00000000E-02    9.98400000E+11    9.91207165E+06    1.04438190E+04    4.94656663E-01    1.13031415E-01
  81    4.05000000E-02    9.98360000E+11    1.01625898E+07    1.09788309E+04    4.94660111E-01    1.11667032E-01
  82    4.10000000E-02    9.98319000E+11    1.04162137E+07    1.15341172E+04    4.94663601E-01    1.10335007E-01
  83    4.15000000E-02    9.98278000E+11    1.06729529E+07    1.21101938E+04    4.94667134E-01    1.09034309E-01
  84    4.20000000E-02    9.98236000E+11    1.09327961E+07    1.27075601E+04    4.94670710E-01    1.07763738E-01
  85    4.25000000E-02    9.98194000E+11    1.11957533E+07    1.33267454E+04    4.94674328E-01    1.06522364E-01
  86    4.30000000E-02    9.98151000E+11    1.14618126E+07    1.39682599E+04    4.94677989E-01    1.05309086E-01
  87    4.35000000E-02    9.98108000E+11    1.17309846E+07    1.46326467E+04    4.94681693E-01    1.04123064E-01
  88    4.40000000E-02    9.98064000E+11    1.20032569E+07    1.53204268E+04    4.94685439E-01    1.02963286E-01
  89    4.45000000E-02    9.98020000E+11    1.22786405E+07    1.60321569E+04    4.94689227E-01    1.01828990E-01
  90    4.50000000E-02    9.97975000E+11    1.25571224E+07    1.67683687E+04    4.94693059E-01    1.00719245E-01
  91    4.55000000E-02    9.97930000E+11    1.28387143E+07    1.75296325E+04    4.94696933E-01    9.96333599E-02
  92    4.60000000E-02    9.97884000E+11    1.31234024E+07    1.83164910E+04    4.94700849E-01    9.85704750E-02
  93    4.65000000E-02    9.97838000E+11    1.34111991E+07    1.91295280E+04    4.94704808E-01    9.75299624E-02
  94    4.70000000E-02    9.97791000E+11    1.37020902E+07    1.99692967E+04    4.94708810E-01    9.65110271E-02
  95    4.75000000E-02    9.97744000E+11    1.39960882E+07    2.08363950E+04    4.94712855E-01    9.55130979E-02
  96    4.80000000E-02    9.97696000E+11    1.42931786E+07    2.17313864E+04    4.94716942E-01    9.45354376E-02
  97    4.85000000E-02    9.97648000E+11    1.45933745E+07    2.26548827E+04    4.94721071E-01    9.35775264E-02
  98    4.90000000E-02    9.97599000E+11    1.48966605E+07    2.36074577E+04    4.94725244E-01    9.26386794E-02
  99    4.95000000E-02    9.97550000E+11    1.52030506E+07    2.45897372E+04    4.94729459E-01    9.17184229E-02
 100    5.00000000E-02    9.97500000E+11    1.55125287E+07    2.56023053E+04    4.94733717E-01    9.08161194E-02
 101    5.05000000E-02    9.97450000E+11    1.58251093E+07    2.66458018E+04    4.94738017E-01    8.99313366E-02
 102    5.10000000E-02    9.97399000E+11    1.61407757E+07    2.77208210E+04    4.94742360E-01    8.90634803E-02
 103    5.15000000E-02    9.97348000E+11    1.64595430E+07    2.88280168E+04    4.94746746E-01    8.82121556E-02
 104    5.20000000E-02    9.97296000E+11    1.67813939E+07    2.99679933E+04    4.94751174E-01    8.73768074E-02
 105    5.25000000E-02    9.97244000E+11    1.71063441E+07    3.11414189E+04    4.94755645E-01    8.65570749E-02
 106    5.30000000E-02    9.97191000E+11    1.74343756E+07    3.23489074E+04    4.94760159E-01    8.57524386E-02
 107    5.35000000E-02    9.97138000E+11    1.77655047E+07    3.35911415E+04    4.94764715E-01    8.49625687E-02
 108    5.40000000E-02    9.97084000E+11    1.80997128E+07    3.48687449E+04    4.94769315E-01    8.41869781E-02
 109    5.45000000E-02    9.97030000E+11    1.84370169E+07    3.61824146E+04    4.94773956E-01    8.34253649E-02
 110    5.50000000E-02    9.96975000E+11    1.87773976E+07    3.75327839E+04    4.94778641E-01    8.26772721E-02
 111    5.55000000E-02    9.96920000E+11    1.91208725E+07    3.89205643E+04    4.94783368E-01    8.19424231E-02
 112    5.60000000E-02    9.96864000E+11    1.94674216E+07    4.03463985E+04    4.94788138E-01    8.12203881E-02
 113    5.65000000E-02    9.96808000E+11    1.98170633E+07    4.18110128E+04    4.94792951E-01    8.05109140E-02
 114    5.70000000E-02    9.96751000E+11    2.01697767E+07    4.33150589E+04    4.94797807E-01    7.98135959E-02
 115    5.75000000E-02    9.96694000E+11    2.05255808E+07    4.48592783E+04    4.94802705E-01    7.91282017E-02
 116    5.80000000E-02    9.96636000E+11    2.08844542E+07    4.64443313E+04    4.94807646E-01    7.84543498E-02
 117    5.85000000E-02    9.96578000E+11    2.12464165E+07    4.80709746E+04    4.94812630E-01    7.77918274E-02
 118    5.90000000E-02    9.96519000E+11    2.16114455E+07    4.97398774E+04    4.94817657E-01    7.71402740E-02
 119    5.95000000E-02    9.96460000E+11    2.19795616E+07    5.14518113E+04    4.94822726E-01    7.64994946E-02
 120    6.00000000E-02    9.96400000E+11    2.23507418E+07    5.32074543E+04    4.94827838E-01    7.58691483E-02
 121    6.05000000E-02    9.96340000E+11    2.27250072E+07    5.50075933E+04    4.94832993E-01    7.52490563E-02
 122    6.10000000E-02    9.96279000E+11    2.31023341E+07    5.68529146E+04    4.94838191E-01    7.46388957E-02
 123    6.15000000E-02    9.96218000E+11    2.34827444E+07    5.87442208E+04    4.94843431E-01    7.40385026E-02
 124    6.20000000E-02    9.96156000E+11    2.38662134E+07    6.06822062E+04    4.94848715E-01    7.34475708E-02
 125    6.25000000E-02    9.96094000E+11    2.42527639E+07    6.26676890E+04    4.94854041E-01    7.28659501E-02
 126    6.30000000E-02    9.96031000E+11    2.46423704E+07    6.47013716E+04    4.94859410E-01    7.22933498E-02
 127    6.35000000E-02    9.95968000E+11    2.50350564E+07    6.67840880E+04    4.94864822E-01    7.17296322E-02
 128    6.40000000E-02    9.95904000E+11    2.54307957E+07    6.89165484E+04    4.94870277E-01    7.11745211E-02
 129    6.45000000E-02    9.95840000E+11    2.58296125E+07    7.10996027E+04    4.94875774E-01    7.06278903E-02
 130    6.50000000E-02    9.95775000E+11    2.62314798E+07    7.33339685E+04    4.94881314E-01    7.00894768E-02
