   -2.0104214249D-01   -5.1400000000D+00   -7.3222373882D+03    7.6002670753D+00    5.9920209331D-01   -4.7967334701D-11   -7.3146371211D+03   -7.3140379190D+03    7.3140379190D+03
   -1.9604214249D-01   -5.1450000000D+00   -7.3584473409D+03    7.7170435503D+00    6.1166172305D-01   -4.9220610049D-11   -7.3507302974D+03   -7.3501186356D+03    7.3501186356D+03
   -1.9104214249D-01   -5.1500000000D+00   -7.3940331211D+03    7.8354704318D+00    6.2405839498D-01   -5.0502218755D-11   -7.3861976507D+03   -7.3855735923D+03    7.3855735923D+03
   -1.8604214249D-01   -5.1550000000D+00   -7.4289761717D+03    7.9555640320D+00    6.3638788306D-01   -5.1812230379D-11   -7.4210206077D+03   -7.4203842198D+03    7.4203842198D+03
   -1.8104214249D-01   -5.1600000000D+00   -7.4632580558D+03    8.0773416457D+00    6.4864594072D-01   -5.3150698455D-11   -7.4551807141D+03   -7.4545320682D+03    7.4545320682D+03
   -1.7604214249D-01   -5.1650000000D+00   -7.4968604771D+03    8.2008216337D+00    6.6082830472D-01   -5.4517660125D-11   -7.4886596555D+03   -7.4879988272D+03    7.4879988272D+03
   -1.7104214249D-01   -5.1700000000D+00   -7.5297653022D+03    8.3260235060D+00    6.7293069916D-01   -5.5913135786D-11   -7.5214392787D+03   -7.5207663480D+03    7.5207663480D+03
   -1.6604214249D-01   -5.1750000000D+00   -7.5619545813D+03    8.4529680076D+00    6.8494883960D-01   -5.7337128760D-11   -7.5535016133D+03   -7.5528166644D+03    7.5528166644D+03
   -1.6104214249D-01   -5.1800000000D+00   -7.5934105703D+03    8.5816772039D+00    6.9687843726D-01   -5.8789624977D-11   -7.5848288931D+03   -7.5841320146D+03    7.5841320146D+03
   -1.5604214249D-01   -5.1850000000D+00   -7.6241157526D+03    8.7121745673D+00    7.0871520333D-01   -6.0270592681D-11   -7.6154035780D+03   -7.6146948628D+03    7.6146948628D+03
   -1.5104214249D-01   -5.1900000000D+00   -7.6540528611D+03    8.8444850640D+00    7.2045485336D-01   -6.1779982158D-11   -7.6452083760D+03   -7.6444879212D+03    7.6444879212D+03
   -1.4604214249D-01   -5.1950000000D+00   -7.6832049001D+03    8.9786352400D+00    7.3209311173D-01   -6.3317725487D-11   -7.6742262649D+03   -7.6734941717D+03    7.6734941717D+03
   -1.4104214249D-01   -5.2000000000D+00   -7.7115551674D+03    9.1146533070D+00    7.4362571620D-01   -6.4883736307D-11   -7.7024405141D+03   -7.7016968884D+03    7.7016968884D+03
