   -5.0000000000D+00    2.6895397388D+01    2.7713404015D+01    2.6077390761D+01    2.9038460611D+01    2.4752334164D+01
   -5.0050000000D+00    2.6777143835D+01    2.7605463401D+01    2.5948824269D+01    2.8923304504D+01    2.4630983165D+01
   -5.0100000000D+00    2.6657534678D+01    2.7496281307D+01    2.5818788048D+01    2.8806866866D+01    2.4508202490D+01
   -5.0150000000D+00    2.6536561185D+01    2.7385847415D+01    2.5687274954D+01    2.8689138628D+01    2.4383983741D+01
   -5.0200000000D+00    2.6414215276D+01    2.7274152028D+01    2.5554278523D+01    2.8570111367D+01    2.4258319184D+01
   -5.0250000000D+00    2.6290489545D+01    2.7161186093D+01    2.5419792996D+01    2.8449777324D+01    2.4131201766D+01
   -5.0300000000D+00    2.6165377285D+01    2.7046941230D+01    2.5283813339D+01    2.8328129425D+01    2.4002625145D+01
   -5.0350000000D+00    2.6038872509D+01    2.6931409748D+01    2.5146335271D+01    2.8205161308D+01    2.3872583711D+01
   -5.0400000000D+00    2.5910969976D+01    2.6814584669D+01    2.5007355284D+01    2.8080867340D+01    2.3741072613D+01
   -5.0450000000D+00    2.5781665212D+01    2.6696459757D+01    2.4866870667D+01    2.7955242640D+01    2.3608087784D+01
   -5.0500000000D+00    2.5650954532D+01    2.6577029532D+01    2.4724879532D+01    2.7828283102D+01    2.3473625961D+01
   -5.0550000000D+00    2.5518835063D+01    2.6456289297D+01    2.4581380830D+01    2.7699985413D+01    2.3337684714D+01
   -5.0600000000D+00    2.5385304770D+01    2.6334235159D+01    2.4436374381D+01    2.7570347075D+01    2.3200262464D+01
   -5.0650000000D+00    2.5250362470D+01    2.6210864050D+01    2.4289860890D+01    2.7439366428D+01    2.3061358513D+01
   -5.0700000000D+00    2.5114007861D+01    2.6086173750D+01    2.4141841971D+01    2.7307042663D+01    2.2920973059D+01
   -5.0750000000D+00    2.4976241536D+01    2.5960162903D+01    2.3992320169D+01    2.7173375848D+01    2.2779107223D+01
   -5.0800000000D+00    2.4837065008D+01    2.5832831041D+01    2.3841298974D+01    2.7038366945D+01    2.2635763070D+01
   -5.0850000000D+00    2.4696480727D+01    2.5704178603D+01    2.3688782851D+01    2.6902017827D+01    2.2490943628D+01
   -5.0900000000D+00    2.4554492101D+01    2.5574206953D+01    2.3534777250D+01    2.6764331294D+01    2.2344652909D+01
   -5.0950000000D+00    2.4411103511D+01    2.5442918396D+01    2.3379288626D+01    2.6625311093D+01    2.2196895928D+01
   -5.1000000000D+00    2.4266320329D+01    2.5310316200D+01    2.3222324458D+01    2.6484961935D+01    2.2047678723D+01
   -5.1050000000D+00    2.4120148937D+01    2.5176404608D+01    2.3063893267D+01    2.6343289506D+01    2.1897008369D+01
   -5.1100000000D+00    2.3972596739D+01    2.5041188855D+01    2.2904004624D+01    2.6200300482D+01    2.1744892996D+01
   -5.1150000000D+00    2.3823672178D+01    2.4904675183D+01    2.2742669172D+01    2.6056002548D+01    2.1591341808D+01
   -5.1200000000D+00    2.3673384745D+01    2.4766870856D+01    2.2579898635D+01    2.5910404401D+01    2.1436365089D+01
   -5.1250000000D+00    2.3521744999D+01    2.4627784167D+01    2.2415705830D+01    2.5763515771D+01    2.1279974226D+01
   -5.1300000000D+00    2.3368764568D+01    2.4487424456D+01    2.2250104679D+01    2.5615347424D+01    2.1122181712D+01
   -5.1350000000D+00    2.3214456168D+01    2.4345802117D+01    2.2083110218D+01    2.5465911175D+01    2.0963001160D+01
   -5.1400000000D+00    2.3058833604D+01    2.4202928606D+01    2.1914738603D+01    2.5315219895D+01    2.0802447314D+01
   -5.1450000000D+00    2.2901911784D+01    2.4058816448D+01    2.1745007119D+01    2.5163287515D+01    2.0640536053D+01
   -5.1500000000D+00    2.2743706717D+01    2.3913479250D+01    2.1573934184D+01    2.5010129034D+01    2.0477284399D+01
   -5.1550000000D+00    2.2584235523D+01    2.3766931694D+01    2.1401539352D+01    2.4855760525D+01    2.0312710521D+01
   -5.1600000000D+00    2.2423516434D+01    2.3619189553D+01    2.1227843316D+01    2.4700199130D+01    2.0146833738D+01
   -5.1650000000D+00    2.2261568795D+01    2.3470269683D+01    2.1052867907D+01    2.4543463070D+01    1.9979674520D+01
   -5.1700000000D+00    2.2098413061D+01    2.3320190028D+01    2.0876636094D+01    2.4385571635D+01    1.9811254487D+01
