    1.0000000000D+09    2.2998015201D-02    6.3789042839D-02    6.4555373530D-02    6.3022787905D-02
    1.3803842646D+09    1.6660589222D-02    6.3788819644D-02    6.4846597481D-02    6.2731049947D-02
    1.9054607180D+09    1.2069529949D-02    6.3788272839D-02    6.5248455432D-02    6.2328211321D-02
    2.6302679919D+09    8.7436015160D-03    6.3787230971D-02    6.5802896809D-02    6.1771899925D-02
    3.6307805477D+09    6.3341793587D-03    6.3785245718D-02    6.6567697171D-02    6.1003534460D-02
    5.0118723363D+09    4.5887073050D-03    6.3781463260D-02    6.7622349428D-02    5.9942089423D-02
    6.9183097092D+09    3.3242245820D-03    6.3774257221D-02    6.9076048732D-02    5.8474576624D-02
    9.5499258602D+09    2.4081878266D-03    6.3760530859D-02    7.1078414364D-02    5.6444645020D-02
    1.3182567386D+10    1.7445778602D-03    6.3734392161D-02    7.3833614705D-02    5.3636131181D-02
    1.8197008586D+10    1.2638349371D-03    6.3684645525D-02    7.7618325716D-02    4.9748800424D-02
    2.5118864315D+10    9.1556747601D-04    6.3590007667D-02    8.2807103467D-02    4.4367381606D-02
    3.4673685045D+10    6.6327000350D-04    6.3410644447D-02    8.9912665140D-02    3.6921685311D-02
    4.7863009232D+10    4.8049664177D-04    6.3071559989D-02    9.9557099172D-02    2.6580998846D-02
    6.6069344801D+10    3.4808904600D-04    6.2435449519D-02    1.1257304210D-01    1.2320814604D-02
    9.1201083936D+10    2.5216822223D-04    6.1258425767D-02    1.2984916141D-01   -7.3264917291D-03
    1.2589254118D+11    1.8267972817D-04    5.9134879858D-02    1.5226863843D-01   -3.3995302334D-02
    1.7378008287D+11    1.3233976426D-04    5.5472550669D-02    1.8017146267D-01   -6.9396211729D-02
    2.3988329190D+11    9.5871684180D-05    4.9621047264D-02    2.1290669961D-01   -1.1403093613D-01
    3.3113112148D+11    6.9452895573D-05    4.1322783603D-02    2.4782680115D-01   -1.6598725957D-01
    4.5708818961D+11    5.0314175084D-05    3.1344118595D-02    2.8087943777D-01   -2.1939836708D-01
    6.3095734448D+11    3.6449397733D-05    2.1471657405D-02    3.0792680728D-01   -2.6695853587D-01
    8.7096358996D+11    2.6405254441D-05    1.3420707875D-02    3.2732267161D-01   -3.0290244453D-01
    1.2022644346D+12    1.9128915852D-05    7.8285366547D-03    3.3968330078D-01   -3.2685545287D-01
    1.6595869074D+12    1.3857674520D-05    4.3638589976D-03    3.4684688709D-01   -3.4127182594D-01
    2.2908676528D+12    1.0038997745D-05    2.3673332859D-03    3.5100576370D-01   -3.4953217701D-01
    3.1622776602D+12    7.2726109699D-06    1.2646405393D-03    3.5317330968D-01   -3.5398771103D-01
    4.3651583224D+12    5.2685409103D-06    6.6986921587D-04    3.5439667718D-01   -3.5639293061D-01
    6.0255958607D+12    3.8167204925D-06    3.5315613786D-04    3.5503785929D-01   -3.5772289196D-01
    8.3176377110D+12    2.7649695743D-06    1.8566138288D-04    3.5540586842D-01   -3.5842400964D-01
    1.1481536215D+13    2.0030433882D-06    9.7402420378D-05    3.5550498544D-01   -3.5869769922D-01
    1.5848931925D+13    1.4510766600D-06    5.0984863677D-05    3.5552225391D-01   -3.5882634564D-01
    2.1877616239D+13    1.0512121133D-06    2.6597450121D-05    3.5564469673D-01   -3.5899798177D-01
    3.0199517204D+13    7.6153585655D-07    1.3791167875D-05    3.5570900296D-01   -3.5908811722D-01
    4.1686938347D+13    5.5168395937D-07    7.0682610184D-06    3.5574279494D-01   -3.5913546804D-01
    5.7543993734D+13    3.9965969876D-07    3.5394440361D-06    3.5576053899D-01   -3.5916033468D-01
    7.9432823472D+13    2.8952785758D-07    1.6873419045D-06    3.5576984863D-01   -3.5917338774D-01
    1.0964781961D+14    2.0974439147D-07    7.1527258594D-07    3.5577476664D-01   -3.5918025247D-01
    1.5135612484D+14    1.5194637961D-07    2.0510504687D-07    3.5577733830D-01   -3.5918385870D-01
    2.0892961309D+14    1.1007542139D-07   -6.2625795127D-08    3.5577869234D-01   -3.5918575370D-01
    2.8840315031D+14    7.9742593576D-08   -2.0315780945D-07    3.5577942802D-01   -3.5918677550D-01
    3.9810717055D+14    5.7768402336D-08   -2.7685491830D-07    3.5577978657D-01   -3.5918727877D-01
    5.4954087386D+14    4.1849508008D-08   -3.1554241704D-07    3.5578001190D-01   -3.5918758611D-01
    7.5857757503D+14    3.0317288513D-08   -3.3586778994D-07    3.5578010517D-01   -3.5918772023D-01
    1.0471285481D+15    2.1962934010D-08   -3.4655983124D-07    3.5578018215D-01   -3.5918782023D-01
    1.4454397707D+15    1.5910739186D-08   -3.5213470110D-07    3.5578022356D-01   -3.5918787144D-01
    1.9952623150D+15    1.1526311618D-08   -3.5506833213D-07    3.5578021174D-01   -3.5918786553D-01
    2.7542287033D+15    8.3500746229D-09   -3.5656595390D-07    3.5578027198D-01   -3.5918792516D-01
    3.8018939632D+15    6.0490943261D-09   -1.4224051352D-07    3.5578056088D-01   -3.5918822265D-01
    5.2480746025D+15    4.3821814557D-09   -1.4264619582D-07    3.5578065284D-01   -3.5918830713D-01
    7.2443596007D+15    3.1746098301D-09   -1.4289611867D-07    3.5578057948D-01   -3.5918823846D-01
    1.0000000000D+16    2.2998015201D-09   -1.4297627571D-07    3.5578070174D-01   -3.5918835342D-01
