    1.0000000000D+09    2.2998015201D-02    4.7309340659D-03   -6.0628897335D-07    4.7303277769D-03    9.2898738501D-06    2.0214500976D-05    3.2852980839D-05    4.1279676586D-03    1.9272017356D-09
    1.3803842646D+09    1.6660589222D-02    6.5333812253D-03   -8.3735948186D-07    6.5325438659D-03    9.4324179001D-06    2.7929926207D-05    4.4861714829D-05    5.7006895518D-03    2.6614498563D-09
    1.9054607180D+09    1.2069529949D-02    9.0221995273D-03   -1.1564463379D-06    9.0210430810D-03    8.7078925918D-06    3.8587572476D-05    6.1313361049D-05    7.8723032999D-03    3.6752993716D-09
    2.6302679919D+09    8.7436015160D-03    1.2456303799D-02   -1.5971987817D-06    1.2454706600D-02    9.2212350150D-06    5.3286838590D-05    8.4239880828D-05    1.0868724550D-02    5.0742224779D-09
    3.6307805477D+09    6.3341793587D-03    1.7197651309D-02   -2.2058150943D-06    1.7195445494D-02    8.4181902989D-06    7.3587595732D-05    1.1566943961D-04    1.5005778440D-02    7.0056666569D-09
    5.0118723363D+09    4.5887073050D-03    2.3741079786D-02   -3.0461270217D-06    2.3738033659D-02    7.9859630767D-06    1.0160062898D-04    1.5914485199D-04    2.0715234703D-02    9.6712100576D-09
    6.9183097092D+09    3.3242245820D-03    3.2771313667D-02   -4.2062367857D-06    3.2767107430D-02    7.2897199606D-06    1.4025824240D-04    2.1912720332D-04    2.8594548363D-02    1.3349783390D-08
    9.5499258602D+09    2.4081878266D-03    4.5230474150D-02   -5.8080791337D-06    4.5224666071D-02    6.3197233501D-06    1.9358933305D-04    3.0188181571D-04    3.9465765508D-02    1.8425171314D-08
    1.3182567386D+10    1.7445778602D-03    6.2413030164D-02   -8.0191504370D-06    6.2405011013D-02    4.9784238824D-06    2.6712438337D-04    4.1600198226D-04    5.4458372576D-02    2.5424691653D-08
    1.8197008586D+10    1.2638349371D-03    8.6089868355D-02   -1.1069593867D-05    8.6078798761D-02    3.1262746876D-06    3.6841476219D-04    5.7323572163D-04    7.5117553396D-02    3.5069737251D-08
    2.5118864315D+10    9.1556747601D-04    1.1866365852D-01   -1.5273863763D-05    1.1864838465D-01    5.7488013282D-07    5.0766752068D-04    7.8950363008D-04    1.0353975299D-01    4.8339066625D-08
