    1.0000000000D+09    2.2998015201D-02    4.7309340659D-03   -6.0628897335D-07    4.7303277769D-03    9.2898738501D-06    2.0214500976D-05    3.2852980839D-05    4.1279676586D-06    1.9272017356D-09
    1.3803842646D+09    1.6660589222D-02    6.5333812253D-03   -8.3735948186D-07    6.5325438659D-03    9.4324179001D-06    2.7929926207D-05    4.4861714829D-05    5.7006895518D-06    2.6614498563D-09
    1.9054607180D+09    1.2069529949D-02    9.0221995273D-03   -1.1564463379D-06    9.0210430810D-03    8.7078925918D-06    3.8587572476D-05    6.1313361049D-05    7.8723032999D-06    3.6752993716D-09
    2.6302679919D+09    8.7436015160D-03    1.2456303799D-02   -1.5971987817D-06    1.2454706600D-02    9.2212350150D-06    5.3286838590D-05    8.4239880828D-05    1.0868724550D-05    5.0742224779D-09
    3.6307805477D+09    6.3341793587D-03    1.7197651309D-02   -2.2058150943D-06    1.7195445494D-02    8.4181902989D-06    7.3587595732D-05    1.1566943961D-04    1.5005778440D-05    7.0056666569D-09
    5.0118723363D+09    4.5887073050D-03    2.3741079786D-02   -3.0461270217D-06    2.3738033659D-02    7.9859630767D-06    1.0160062898D-04    1.5914485199D-04    2.0715234703D-05    9.6712100576D-09
    6.9183097092D+09    3.3242245820D-03    3.2771313667D-02   -4.2062367857D-06    3.2767107430D-02    7.2897199606D-06    1.4025824240D-04    2.1912720332D-04    2.8594548363D-05    1.3349783390D-08
    9.5499258602D+09    2.4081878266D-03    4.5230474150D-02   -5.8080791337D-06    4.5224666071D-02    6.3197233501D-06    1.9358933305D-04    3.0188181571D-04    3.9465765508D-05    1.8425171314D-08
    1.3182567386D+10    1.7445778602D-03    6.2413030164D-02   -8.0191504370D-06    6.2405011013D-02    4.9784238824D-06    2.6712438337D-04    4.1600198226D-04    5.4458372576D-05    2.5424691653D-08
    1.8197008586D+10    1.2638349371D-03    8.6089868355D-02   -1.1069593867D-05    8.6078798761D-02    3.1262746876D-06    3.6841476219D-04    5.7323572163D-04    7.5117553396D-05    3.5069737251D-08
    2.5118864315D+10    9.1556747601D-04    1.1866365852D-01   -1.5273863763D-05    1.1864838465D-01    5.7488013282D-07    5.0766752068D-04    7.8950363008D-04    1.0353975299D-04    4.8339066625D-08
    3.0000000000D+10    7.6660050671D-04    1.4153541106D-01   -1.8231355066D-05    1.4151717971D-01   -1.2183727711D-06    6.0535485993D-04    9.4131268066D-04    1.2349645784D-04    5.7656155267D-08
    3.4673685045D+10    6.6327000350D-04    1.6334200556D-01   -2.1054810807D-05    1.6332095075D-01   -2.9297397839D-06    6.9840852280D-04    1.0860104167D-03    1.4252376103D-04    6.6539340234D-08
    4.7863009232D+10    4.8049664177D-04    2.2427101792D-01   -2.8965399671D-05    2.2424205252D-01   -7.7145472112D-06    9.5785648440D-04    1.4900359385D-03    1.9568725665D-04    9.1359533030D-08
    6.6069344801D+10    3.4808904600D-04    3.0645805468D-01   -3.9690141007D-05    3.0641836454D-01   -1.4167666990D-05    1.3061100724D-03    2.0341873869D-03    2.6739940165D-04    1.2483946921D-07
    9.1201083936D+10    2.5216822223D-04    4.1505085848D-01   -5.3969821328D-05    4.1499688866D-01   -2.2677476132D-05    1.7619704728D-03    2.7510787295D-03    3.6215184922D-04    1.6907617556D-07
    1.2589254118D+11    1.8267972817D-04    5.5305574902D-01   -7.2338306904D-05    5.5298341072D-01   -3.3435076441D-05    2.3310672559D-03    3.6571489535D-03    4.8256775800D-04    2.2529437264D-07
    1.7378008287D+11    1.3233976426D-04    7.1611970056D-01   -9.4499977796D-05    7.1602520058D-01   -4.6008584858D-05    2.9808724796D-03    4.7167137121D-03    6.2484890350D-04    2.9172091155D-07
    2.3988329190D+11    9.5871684180D-05    8.8419498956D-01   -1.1824932989D-04    8.8407674023D-01   -5.8748176808D-05    3.6064092694D-03    5.7872750591D-03    7.7150268214D-04    3.6018926498D-07
    3.3113112148D+11    6.9452895573D-05    1.0163444141D+00   -1.3859081310D-04    1.0162058232D+00   -6.8518149045D-05    4.0244702171D-03    6.5930375439D-03    8.8680941498D-04    4.1402328414D-07
    4.5708818961D+11    5.0314175084D-05    1.0640848713D+00   -1.4892452825D-04    1.0639359468D+00   -7.1903363253D-05    4.0610935776D-03    6.8283276392D-03    9.2846526156D-04    4.3347264734D-07
    6.3095734448D+11    3.6449397733D-05    1.0061464730D+00   -1.4540970940D-04    1.0060010633D+00   -6.7757192657D-05    3.6973594056D-03    6.3869986630D-03    8.7791122059D-04    4.0987235755D-07
    8.7096358996D+11    2.6405254441D-05    8.6807167755D-01   -1.3031241851D-04    8.6794136514D-01   -5.8218510337D-05    3.0896736859D-03    5.4616268551D-03    7.5743431644D-04    3.5362702321D-07
    1.2022644346D+12    1.9128915852D-05    6.9896940436D-01   -1.0980739509D-04    6.9885959696D-01   -4.6763923422D-05    2.4317446819D-03    4.3703690971D-03    6.0988444468D-04    2.8474169299D-07
    1.6595869074D+12    1.3857674520D-05    5.3784824002D-01   -8.9349580889D-05    5.3775889044D-01   -3.5961936788D-05    1.8444851074D-03    3.3499118963D-03    4.6929847450D-04    2.1910716190D-07
    2.2908676528D+12    1.0038997745D-05    4.0279035702D-01   -7.1769249925D-05    4.0271858777D-01   -2.6946895743D-05    1.3697896603D-03    2.5030818787D-03    3.5145397163D-04    1.6408962667D-07
    3.1622776602D+12    7.2726109699D-06    2.9706295041D-01   -5.7799057347D-05    2.9700515135D-01   -1.9894892499D-05    1.0055320281D-03    1.8437375454D-03    2.5920172101D-04    1.2102014649D-07
